sl_10_5400_20241215 Coordinates.csv
2024/12/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:24 2024,
Start: 2024/12/15 07:47:00.00, Stop: 2024/12/15 09:17:00.00,
TIME_UNITS,STARLINK-4003 - X-Coordinate,STARLINK-31883 - X-Coordinate,STARLINK-6153 - X-Coordinate,STARLINK-32122 - X-Coordinate,STARLINK-3672 - X-Coordinate,STARLINK-11287 [DTC] - X-Coordinate,STARLINK-2211 - X-Coordinate,STARLINK-31765 - X-Coordinate,STARLINK-5860 - X-Coordinate,STARLINK-30779 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4003 - Y-Coordinate,STARLINK-31883 - Y-Coordinate,STARLINK-6153 - Y-Coordinate,STARLINK-32122 - Y-Coordinate,STARLINK-3672 - Y-Coordinate,STARLINK-11287 [DTC] - Y-Coordinate,STARLINK-2211 - Y-Coordinate,STARLINK-31765 - Y-Coordinate,STARLINK-5860 - Y-Coordinate,STARLINK-30779 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4003 - Z-Coordinate,STARLINK-31883 - Z-Coordinate,STARLINK-6153 - Z-Coordinate,STARLINK-32122 - Z-Coordinate,STARLINK-3672 - Z-Coordinate,STARLINK-11287 [DTC] - Z-Coordinate,STARLINK-2211 - Z-Coordinate,STARLINK-31765 - Z-Coordinate,STARLINK-5860 - Z-Coordinate,STARLINK-30779 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6176.6283,-753.2322,-405.5796,-3437.4337,1844.5178,4337.4468,-5372.5160,-524.9879,1490.0141,1362.9779,172070.0275,138546.7581,159615.6312,163341.3803,157643.9242,160176.7647,153942.5132,156805.8094,-30455907.3904,-30486162.3468,-30437230.9852,-30452754.0108,158062.5652,-30445317.7691,-1196.6087,4065.8765,6814.1229,-5629.5871,3944.7690,5118.3632,1162.1225,-5688.1875,4884.2065,5935.1430,-297426.2209,-281747.7772,-279843.8465,-284638.7901,-278762.2765,-281598.9335,-287404.4690,-285649.1447,-95418317.1241,-95383880.7990,-95418298.2194,-95409702.1663,-285480.2301,-95405701.4959,-2861.2964,-5455.4300,1240.6349,1748.9550,5375.4313,-109.2313,4202.1020,3717.4134,-4700.7228,3138.1927,179093.1889,175036.9410,172987.5856,181107.4430,178648.3748,167948.1472,168634.6614,173615.9443,40375892.4339,40349713.6916,40363644.6418,40353200.8489,174871.2636,40363805.8125,
300.000,-5448.3310,1344.5317,1107.9919,-4563.3568,3410.7626,5049.0964,-5659.2945,-2296.4525,3489.3353,2802.8464,178305.2700,144431.2112,165679.9058,169248.7623,163547.0318,166109.7563,159946.9645,163142.4775,-28360364.3657,-28390927.7166,-28341226.5063,-28356733.3899,163994.1154,-28349697.7152,325.6769,4484.9171,6844.6189,-5076.4451,2437.7791,4070.6584,2819.0427,-4641.0147,4208.0814,6073.4689,-293701.8734,-278748.8694,-276497.4609,-281315.4468,-275358.2816,-278155.1973,-284047.0338,-282430.9255,-96059091.4210,-96025578.4978,-96058770.6383,-96050965.0893,-282114.9965,-96046491.4530,-4241.1107,-4993.2525,-296.5071,-55.3517,5503.0888,1712.0062,2815.7397,4429.2838,-4275.9068,1490.7588,179107.0017,175048.0859,173071.3122,181025.0004,178832.0757,168139.3550,168475.1033,173370.6850,40375288.4027,40348977.8211,40363636.0345,40352575.7561,174896.2732,40363253.2897,
600.000,-4203.4599,3284.7300,2517.2326,-5216.5644,4683.6696,5224.1358,-5407.5739,-3866.9902,5157.0908,3941.5079,184458.9561,150251.8714,171671.0774,175084.6040,169377.1606,171967.0331,165881.8758,169479.2228,-26251358.3886,-26282207.7030,-26231778.3970,-26247221.2024,169854.0924,-26240613.8235,1856.3109,4498.4620,6213.1712,-3996.5841,733.0251,2564.6851,4174.1202,-3148.5878,3167.0796,5599.6075,-289846.0857,-275627.2746,-273030.1534,-277870.2816,-271835.3793,-274589.7109,-280562.3565,-279045.6524,-96653846.0278,-96621259.8797,-96653194.8997,-96646181.6738,-278626.6065,-96641257.9973,-5163.6943,-3977.4728,-1802.0093,-1853.4794,5039.9750,3330.9906,1126.5677,4643.0321,-3395.6215,-321.9284,179120.4147,175059.0981,173158.3893,180937.3678,179012.0379,168336.0233,168321.3184,173244.7267,40374679.0593,40348242.5663,40363627.1122,40351967.3333,174921.1586,40362700.8967,
900.000,-2573.0857,4871.1708,3700.6428,-5345.8705,5532.4493,4858.9102,-4628.3937,-5077.3163,6330.1396,4679.8688,190528.2961,156006.1869,177586.5024,180846.2456,175131.9325,177746.0404,171744.3300,175774.6136,-24129899.8845,-24161012.7542,-24109898.6415,-24125229.4995,175639.9410,-24119076.6811,3251.3783,4093.0490,4980.2533,-2489.0434,-1003.4566,753.6688,5105.9916,-1365.3600,1852.8334,4550.7434,-285860.6689,-272384.3284,-269443.4833,-274304.8255,-268194.9067,-270904.3356,-276951.9481,-275484.1440,-97202298.6099,-97170642.0372,-97201289.6626,-97195067.8611,-275016.5808,-97189718.7592,-5530.2504,-2520.0336,-3115.3165,-3443.9723,4035.7004,4556.5939,-683.7660,4334.6632,-2153.2011,-2098.9864,179133.4285,175069.9783,173248.6983,180844.4409,179188.2731,168538.2262,168173.2218,173251.4625,40374064.4295,40347507.9339,40363617.2355,40351375.7238,174945.9199,40362148.6334,
1200.000,-722.8000,5945.7148,4557.1046,-4953.4030,5864.1177,4005.8435,-3385.0829,-5800.9337,6892.7292,4960.3961,196510.5408,161691.6333,183423.5736,186531.0460,180808.9935,183444.2668,177531.4593,181983.4331,-21997005.1878,-22028359.2426,-21976605.0700,-21991776.3340,181349.1383,-21986102.7853,4375.0796,3293.6424,3265.0828,-699.1574,-2607.0493,-1172.3818,5537.2260,528.0584,380.0778,3024.1177,-281747.4933,-269021.4192,-265739.0636,-270620.6664,-264438.2636,-267101.0020,-273217.3839,-271743.3314,-97704189.0127,-97673464.2466,-97702795.8674,-97697361.8557,-271286.4929,-97691613.5564,-5301.5704,-782.2888,-4096.7790,-4649.2546,2597.9079,5244.4386,-2420.6532,3538.7764,-680.8333,-3643.8718,179146.0439,175080.7272,173342.1144,180746.1098,179360.7947,168746.0404,168030.7317,173393.4939,40373444.5416,40346773.9309,40363605.7570,40350801.0693,174970.5569,40361596.4999,
1500.000,1164.0218,6404.5536,5014.0713,-4092.1179,5634.0414,2765.7329,-1788.2736,-5957.5248,6788.4168,4770.8323,202402.9831,167305.7151,189179.7212,192136.3833,186406.0155,189059.2457,183240.4454,188060.7364,-19853696.0546,-19885268.9774,-19832920.8647,-19847885.2716,186979.1948,-19842714.0563,5112.6617,2163.3588,1233.6379,1195.7619,-3930.2062,-3006.8919,5440.4637,2343.2055,-1122.9848,1167.7040,-277508.4882,-265539.9878,-261918.5599,-266819.4481,-260566.9109,-263181.7105,-269360.3020,-267826.8883,-98159279.3849,-98129488.0922,-98157476.8560,-98152824.2520,-267437.9687,-98146704.5167,-4501.9839,1042.5757,-4642.3655,-5335.3135,880.9501,5313.7014,-3897.7937,2344.7724,864.3159,-4786.3292,179158.2617,175091.3457,173438.5068,180642.2587,179529.6169,168959.5452,167893.7689,173662.0255,40372819.4261,40346040.5642,40363592.0232,40350243.5097,174995.0698,40361044.4962,
1800.000,2904.1035,6208.7493,5033.1847,-2858.4154,4852.0244,1275.5208,14.1455,-5522.1906,6026.1844,4143.1692,208202.9591,172845.9667,194852.4141,197659.6536,191920.6973,194588.5568,188868.5193,193966.0662,-17700999.1739,-17732768.7153,-17679874.0631,-17694584.8997,192527.6555,-17689937.3478,5382.0976,799.2755,-917.6504,3004.0422,-4856.1679,-4548.9043,4839.1669,3902.5963,-2525.6380,-834.5304,-273145.6407,-261941.5267,-257983.6893,-262902.8703,-256582.3689,-259148.5317,-265382.4020,-263745.0330,-98567354.2913,-98538497.5790,-98565118.4803,-98561238.1500,-263472.6857,-98554776.1911,-3216.9656,2751.1820,-4694.3780,-5426.1065,-930.6757,4756.2968,-4957.3154,886.9370,2316.9454,-5400.9582,179170.0824,175101.8344,173537.7386,180532.7663,179694.7545,169178.8220,167762.2577,174037.4870,40372189.1162,40345307.8408,40363575.3781,40349703.1834,175019.4585,40360492.6223,
2100.000,4331.9173,5387.5399,4613.1215,-1381.1523,3582.8690,-306.8606,1850.9226,-4529.2978,4679.8200,3148.5235,213907.8497,178309.9532,200439.1613,203098.2711,197350.7663,200029.8282,194412.9616,199667.2212,-15539945.6757,-15571889.6684,-15518497.0604,-15532908.3338,197992.1008,-15528803.9549,5143.4833,-675.5774,-2980.8128,4538.7674,-5309.2929,-5625.0686,3803.2836,5057.2573,-3705.9257,-2780.9572,-268660.9944,-258227.5798,-253936.2197,-258872.6879,-252486.2156,-255003.6080,-261285.4442,-259513.5000,-98928220.8147,-98900299.2358,-98925529.1989,-98922409.2612,-259392.3722,-98915635.6559,-1584.4876,4153.0511,-4247.2869,-4911.5230,-2642.4221,3637.7648,-5486.4098,-670.6831,3521.5359,-5420.4798,179181.5069,175112.1941,173639.6672,180417.5047,179856.2228,169403.9541,167636.1252,174491.3581,40371553.6473,40344575.7676,40363555.1651,40349180.2270,175043.7229,40359940.8782,
2400.000,5315.5987,4034.0196,3789.6505,191.6483,1941.0692,-1819.1005,3543.6561,-3070.1554,2880.5527,1888.9206,219515.0813,183695.2717,205937.5127,208449.6664,202693.9796,205380.7378,199871.1027,205143.0339,-13371570.6371,-13403667.0105,-13349826.1088,-13363892.7215,203370.1477,-13360349.1202,4404.9632,-2123.2670,-4756.2009,5636.7915,-5260.8565,-6109.3736,2440.7903,5701.0851,-4561.1325,-4472.3446,-264056.6489,-254399.7413,-249777.9686,-254730.7105,-248280.0857,-250749.1541,-257071.2482,-255151.8326,-99241708.6471,-99214722.2058,-99238540.1630,-99236166.0034,-255198.8066,-99229112.6034,219.3896,5092.1459,-3348.2999,-3848.4571,-4070.9162,2089.8212,-5428.8749,-2152.9588,4349.1980,-4842.6851,179192.5356,175122.4257,173744.1447,180296.3400,180014.0371,169635.0266,167515.3017,174988.9421,40370913.0573,40343844.3516,40363530.7300,40348674.7755,175067.8632,40359389.2639,
