sl_20_5400_20241009 Coordinates.csv
2024/10/09 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:27 2024,
Start: 2024/10/09 07:47:00.00, Stop: 2024/10/09 09:17:00.00,
TIME_UNITS,STARLINK-30705 - X-Coordinate,STARLINK-1727 - X-Coordinate,STARLINK-32179 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-2087 - X-Coordinate,STARLINK-32304 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-5486 - X-Coordinate,STARLINK-5567 - X-Coordinate,STARLINK-3650 - X-Coordinate,STARLINK-31530 - X-Coordinate,STARLINK-31744 - X-Coordinate,STARLINK-5497 - X-Coordinate,STARLINK-31884 - X-Coordinate,STARLINK-31426 - X-Coordinate,STARLINK-3167 - X-Coordinate,STARLINK-5018 - X-Coordinate,STARLINK-31199 - X-Coordinate,STARLINK-30992 - X-Coordinate,STARLINK-3623 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30705 - Y-Coordinate,STARLINK-1727 - Y-Coordinate,STARLINK-32179 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-2087 - Y-Coordinate,STARLINK-32304 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-5486 - Y-Coordinate,STARLINK-5567 - Y-Coordinate,STARLINK-3650 - Y-Coordinate,STARLINK-31530 - Y-Coordinate,STARLINK-31744 - Y-Coordinate,STARLINK-5497 - Y-Coordinate,STARLINK-31884 - Y-Coordinate,STARLINK-31426 - Y-Coordinate,STARLINK-3167 - Y-Coordinate,STARLINK-5018 - Y-Coordinate,STARLINK-31199 - Y-Coordinate,STARLINK-30992 - Y-Coordinate,STARLINK-3623 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30705 - Z-Coordinate,STARLINK-1727 - Z-Coordinate,STARLINK-32179 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-2087 - Z-Coordinate,STARLINK-32304 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-5486 - Z-Coordinate,STARLINK-5567 - Z-Coordinate,STARLINK-3650 - Z-Coordinate,STARLINK-31530 - Z-Coordinate,STARLINK-31744 - Z-Coordinate,STARLINK-5497 - Z-Coordinate,STARLINK-31884 - Z-Coordinate,STARLINK-31426 - Z-Coordinate,STARLINK-3167 - Z-Coordinate,STARLINK-5018 - Z-Coordinate,STARLINK-31199 - Z-Coordinate,STARLINK-30992 - Z-Coordinate,STARLINK-3623 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-1329.3450,5139.4280,2376.3933,6589.1893,3274.4294,3437.6689,-1082.7414,-3648.0137,2803.3067,5406.3004,-2726.3482,-3139.1182,-1162.7302,-1281.5380,378.1941,-4492.7418,4262.2198,-1767.2270,5421.3593,5936.9999,185780.5303,184537.7717,192278.5104,188773.2980,192304.2760,191181.1911,183163.7140,186500.7266,-132487813.1837,-132486237.5378,-132493194.3389,-132497777.0490,186298.7268,-132490320.3173,-6363.1212,-4277.7321,3844.1490,1157.2868,-2997.4137,3555.1097,6612.1982,-939.5438,5861.2284,-3261.5622,5057.0558,5858.0520,-6854.4844,5444.8380,-5911.7754,-994.1199,-1775.8784,4958.9932,-836.8109,2715.5344,269925.7816,303114.7144,288406.3582,283812.3055,291713.6858,288151.4031,290581.4097,286877.2109,-95122662.4010,-95107689.6527,-95092493.6722,-95106833.1615,288182.7651,-95102391.2392,2160.0262,-1806.9846,5067.0803,795.5175,-5320.8781,4652.6535,-734.5894,5834.9624,2420.0172,2821.0486,-3684.3462,1532.2715,-121.1616,3895.7118,-3382.4418,5155.9720,-5157.8313,-4412.5991,-4251.3073,2278.6857,-183723.2245,-188580.3621,-189099.2032,-182449.4361,-182753.5098,-193106.7272,-195299.2615,-188881.6401,68572307.3771,68549199.8189,68550954.0149,68562207.7841,-187713.1036,68571889.2253,
3000.000,-2620.3898,3729.4885,4284.1800,6657.8074,1335.4929,5128.3740,149.6460,-5217.0842,3919.7114,5051.3428,-1274.5827,-1777.4840,-1718.9055,475.0672,-1460.3743,-3998.6134,2657.6085,74.5027,5392.0540,6693.6785,180146.0159,178210.2456,186197.8539,182610.2499,186193.5557,185117.6542,177117.5279,180627.9194,-130376286.9483,-130374672.1066,-130382127.6630,-130386112.3995,180196.5727,-130378892.2220,-6319.6585,-4746.7836,3274.0433,-72.7397,-3956.3887,2806.9034,6645.5519,-3.3948,4440.9837,-4590.2369,6204.0031,6586.8583,-6437.4110,6180.6735,-5135.1932,1095.5326,-3194.1373,5813.4613,-2796.0248,1664.1428,273769.7782,306812.3322,292117.4143,287647.6275,295584.8260,292037.9251,294352.4324,290491.5768,-97991959.0575,-97977263.0686,-97962221.2983,-97976712.1221,292017.0761,-97971707.3562,387.5204,-3399.5926,4128.9813,-1042.9499,-5530.5563,3457.0188,1102.8351,4587.1354,3600.0673,1127.2993,-2539.9077,-3.6847,1981.9896,2839.8587,-4246.6888,5527.6673,-5537.4568,-3657.1746,-3356.0595,522.7039,-183736.2640,-188587.2682,-189014.4070,-182598.2081,-182618.6437,-192888.2094,-195433.9219,-188474.7124,68570722.1097,68547647.9990,68549072.4612,68560574.3738,-187709.1738,68570042.6135,
3300.000,-3638.8290,1933.5666,5739.8933,6009.7214,-710.4040,6278.3415,1378.8914,-6275.8118,4691.2326,4203.6002,282.6640,-234.6418,-2126.4327,2159.8703,-3181.1576,-3166.1987,826.5521,1882.7974,4871.1486,6782.9981,174431.9549,171809.2947,180035.2005,176366.5628,180001.1941,178969.3768,170995.8837,174648.6245,-128202634.5686,-128200967.7630,-128208916.2237,-128212287.0449,174015.6000,-128205337.1176,-5630.5732,-4780.7875,2408.0593,-1307.0638,-4582.9087,1803.9351,5963.1503,875.5970,2590.1885,-5453.8501,6725.4192,6644.0693,-5362.4582,6301.6021,-3864.6914,3097.0001,-4347.7888,6113.0698,-4471.0746,453.0220,277497.5747,310376.1842,295700.0481,291354.2944,299325.6427,295796.8424,297996.3457,294107.9580,-100814393.5357,-100799972.7759,-100785104.2861,-100799715.0035,295722.2366,-100794165.0361,-1427.9942,-4627.8954,2721.7432,-2759.9320,-5149.5051,1868.3965,2811.6565,2852.3222,4394.9473,-687.9838,-1110.5260,-1539.2502,3874.6359,1464.6984,-4634.8371,5303.8428,-5323.8878,-2499.7184,-2102.8714,-1289.6717,-183749.4582,-188593.9440,-188927.0113,-182753.0509,-182487.1490,-192663.3101,-195563.1782,-188006.2529,68569136.5091,68546102.8421,68547197.3183,68558957.8609,-187705.1294,68568195.9759,
3600.000,-4299.8362,-75.6396,6590.2947,4718.8515,-2662.1853,6766.8396,2492.2829,-6708.0135,5051.0055,2932.2591,1800.4607,1346.6097,-2368.9013,3612.1037,-4611.4168,-2076.2156,-1050.2924,3485.0632,3897.2331,6200.9787,168640.7051,165337.7801,173793.2235,170044.8203,173730.0934,172738.6526,164801.3493,168543.5829,-125967895.7215,-125966164.2725,-125974598.9943,-125977341.4091,167758.5408,-125970694.5208,-4358.6961,-4390.1324,1320.6630,-2432.8398,-4810.5427,633.0899,4641.3129,1629.5611,489.0472,-5780.5011,6563.5930,6028.8643,-3736.4125,5787.5032,-2233.0340,4809.0916,-5119.9174,5818.9144,-5704.5605,-817.3780,281107.5263,313804.7998,299152.6759,294930.9156,302934.4601,299426.2234,301511.7317,297730.2417,-103588620.9803,-103574473.3639,-103559797.0578,-103574494.5253,299296.6287,-103568419.3827,-3085.3585,-5361.1117,1005.1182,-4155.9160,-4218.1535,67.3226,4192.6099,814.4292,4719.8081,-2429.2069,443.6002,-2902.0555,5355.9841,-75.1479,-4503.6239,4508.4716,-4539.8509,-1067.0914,-625.1085,-2963.1653,-183762.8069,-188600.3854,-188837.1747,-182914.1254,-182359.0125,-192431.9432,-195687.0905,-187513.4814,68567550.4573,68544564.4284,68545328.6737,68557358.1939,-187700.9706,68566349.3123,
3900.000,-4554.3122,-2102.2086,6747.0920,2928.3761,-4330.5099,6544.2166,3385.7596,-6461.3863,4967.4546,1349.8698,3138.8811,2818.1177,-2441.4933,4696.6565,-5604.0002,-828.7107,-2791.6070,4731.1891,2551.3264,5011.2236,162774.6579,158798.5927,167474.6327,163647.6211,167383.1834,166427.7839,158536.5232,162297.8216,-123673139.1890,-123671330.5316,-123680244.0795,-123682345.1686,161428.1604,-123676033.0555,-2628.0821,-3621.9585,106.2042,-3345.5381,-4606.2034,-603.4206,2825.9828,2207.4835,-1657.9797,-5552.2638,5731.1060,4809.1617,-1723.7073,4683.0005,-405.8314,6057.3843,-5425.7556,4950.0232,-6383.0223,-2039.2984,284598.0355,317096.7688,302473.7681,298376.1863,306409.6642,302924.1651,304897.2168,301350.0270,-106313319.5951,-106299442.4790,-106284977.0645,-106299726.4637,302738.6920,-106293148.5524,-4401.5731,-5521.5041,-825.7672,-5069.4476,-2835.4600,-1741.4356,5084.8416,-1310.0346,4540.0492,-3909.2419,1947.8167,-3939.5464,6269.2875,-1606.5745,-3867.6190,3227.0032,-3268.8093,483.1401,919.4730,-4318.0462,-183776.3098,-188606.5883,-188745.0604,-183081.5994,-182234.2212,-192194.0247,-195805.7160,-187035.5626,68565963.8365,68543032.8369,68543466.6153,68555775.3061,-187696.6972,68564502.6228,
4200.000,-4391.5549,-3945.9709,6196.5006,834.0850,-5556.1177,5637.0650,3973.2808,-5554.1198,4446.9031,-397.8130,4175.8724,4040.0674,-2349.1923,5316.5824,-6052.3759,465.9208,-4232.7271,5507.7862,950.5860,3337.3305,156836.2381,152194.6526,161082.1731,157177.5757,160963.4198,160039.0762,152204.0336,155902.6679,-121319462.3476,-121317564.0575,-121326948.2057,-121328396.7458,155027.2559,-121322449.9417,-611.3266,-2554.3086,-1128.8825,-3958.0875,-3974.9000,-1796.6752,715.9844,2577.8808,-3642.1937,-4805.0287,4310.2102,3113.5814,470.8536,3093.6895,1435.0181,6712.3670,-5222.2258,3582.9827,-6447.6951,-3106.5342,287967.5522,320250.7428,305661.8502,301688.8913,309749.7027,306288.7906,308151.4734,304947.6072,-108987191.2729,-108973581.4553,-108959345.4168,-108974110.2867,306046.9246,-108967054.3835,-5231.9946,-5092.1489,-2562.9251,-5395.3765,-1148.8868,-3352.6086,5384.5928,-3295.4306,3874.8995,-4969.6982,3232.8926,-4535.9562,6518.1628,-2957.7018,-2797.7018,1597.4249,-1646.5501,1980.0467,2365.6578,-5209.4536,-183789.9667,-188612.5483,-188650.8357,-183255.6482,-182112.7629,-191949.4741,-195919.1094,-186609.9629,68564376.5291,68541508.1452,68541611.2318,68554209.1133,-187692.3094,68562655.9074,
4500.000,-3838.1828,-5421.9733,5000.2298,-1337.2890,-6225.3634,4144.5953,4194.7659,-4073.5207,3533.1899,-2145.4245,4818.2671,4893.9018,-2104.8072,5421.3728,-5902.3162,1696.5033,-5241.3143,5748.5946,-761.7556,1349.4038,150827.9022,145528.9072,154618.6242,150637.3032,154473.7839,153574.8337,145806.5372,149356.9958,-118907990.6426,-118905990.4631,-118915836.1974,-118916622.7887,148558.6553,-118911070.4713,1488.0537,-1288.2291,-2275.1203,-4208.5940,-2961.3209,-2840.3406,-1459.1617,2729.1548,-5271.0156,-3622.9209,2444.5259,1117.4476,2623.2271,1175.7710,3109.1661,6703.4437,-4514.0963,1845.4671,-5899.6494,-3923.2614,291214.5746,323265.4352,308715.5031,304867.9107,312953.0864,309518.2466,311273.2207,308494.1814,-111608962.2134,-111595615.9347,-111581627.5038,-111596369.7774,309219.8839,-111588863.0147,-5485.7968,-4118.5814,-4009.5664,-5096.3346,660.9807,-4584.0544,5056.9990,-4931.5321,2795.3948,-5497.6204,4154.3278,-4624.8935,6076.3366,-3977.3183,-1413.4964,-204.5014,152.8939,3258.4164,3558.6839,-5542.5079,-183803.7774,-188618.2609,-188554.6714,-183436.4537,-181994.6258,-191698.2170,-196027.3224,-186269.1310,68562788.4177,68539990.4289,68539762.6123,68552659.5109,-187687.8071,68560809.1661,
4800.000,-2953.9579,-6378.9273,3287.8929,-3352.3288,-6281.1805,2226.9837,4022.1132,-2166.8876,2304.2679,-3723.5431,5009.8424,5293.4448,-1727.2644,5010.3223,-5158.8688,2760.4559,-5729.7992,5439.9006,-2429.2590,-753.4918,144752.1379,138804.3306,148086.7988,144029.4281,147917.2817,147037.3529,139346.7183,142667.5869,-116439877.0501,-116437762.9199,-116448060.4397,-116448177.6373,142025.2159,-116443047.4695,3456.1176,61.4871,-3229.3415,-4066.2825,-1647.6009,-3639.7013,-3464.2983,2667.8384,-6386.8734,-2128.4239,324.0993,-975.4044,4512.9919,-879.6201,4455.4298,6026.9616,-3355.6356,-95.7930,-4798.7629,-4412.1972,294337.6499,326139.6217,311633.3646,307912.2266,316018.3892,312610.7013,314261.2259,311954.8949,-114177383.5305,-114164296.4739,-114150573.6010,-114165253.6460,312256.1868,-114157325.4922,-5135.3582,-2704.2610,-5002.5269,-4206.7077,2399.7966,-5297.2377,4140.0188,-6045.9624,1416.9111,-5437.0079,4608.6809,-4196.4221,4990.2773,-4551.6850,129.6947,-1984.4115,1935.8320,4177.2297,4370.9917,-5281.8938,-183817.7417,-188623.7215,-188456.7423,-183624.2040,-181879.7990,-191440.1874,-196130.4044,-186037.9050,68561199.3856,68538479.7616,68537920.8464,68551126.3708,-187683.1902,68558962.3989,
5100.000,-1825.2898,-6715.0429,1242.2128,-4995.6312,-5728.0491,87.5868,3462.8607,-26.1071,865.8816,-4974.8139,4735.8224,5193.4527,-1240.3899,4131.0573,-3887.4446,3572.0753,-5663.1116,4620.5402,-3896.6186,-2763.0882,138611.4631,132023.9216,141489.5419,137356.5762,141296.9426,140428.9160,132827.2872,135848.6502,-113916301.5258,-113914061.6062,-113924800.3286,-113924242.7783,135429.8233,-113919560.7441,5089.9634,1376.3198,-3903.4568,-3535.3334,-147.1163,-4119.6723,-5084.1226,2415.3178,-6882.7817,-469.5874,-1834.3198,-2953.1982,5945.9952,-2865.5371,5347.4718,4747.0346,-1847.0986,-2051.2561,-3256.8449,-4521.6386,297335.3748,328872.1411,314414.1295,310820.9297,318944.2491,315564.3398,317114.3049,315292.2224,-116691231.8469,-116678399.1408,-116664959.4661,-116679536.1310,315154.5106,-116671218.3645,-4219.0331,-1000.0713,-5430.3290,-2828.9359,3880.6411,-5412.2907,2740.2207,-6521.9431,-113.1151,-4794.3646,4545.0614,-3298.1313,3374.6035,-4616.8856,1658.2616,-3550.7011,3510.0369,4635.2798,4715.8675,-4455.3369,-183831.8595,-188628.9250,-188357.2258,-183819.0924,-181768.2721,-191175.3320,-196228.4020,-185931.8650,68559609.3161,68536976.2145,68536086.0243,68549609.5375,-187678.4589,68557115.6059,
5400.000,-557.0816,-6389.4802,-920.8125,-6092.8445,-4630.3563,-2048.6741,2560.9614,2131.9514,-657.3057,-5769.4204,4023.6875,4594.9066,-672.1520,2873.8192,-2208.4523,4068.9229,-5060.7598,3376.8212,-5024.0879,-4482.2296,132408.4248,125190.7029,134829.7297,130621.3716,134615.8185,133751.7828,126250.9800,128920.6599,-111338470.4405,-111336093.1441,-111347261.7077,-111346026.2858,128775.3901,-111341816.5213,6218.4393,2544.1385,-4232.0205,-2656.1202,1405.2005,-4231.3525,-6146.6649,2003.8113,-6712.8892,1194.4086,-3809.5897,-4617.4048,6774.7722,-4579.8372,5705.7929,2989.0050,-126.1525,-3827.2324,-1425.9279,-4230.9574,300206.3962,331461.8958,317056.5505,313593.2289,321729.3681,318377.3609,319831.3235,318469.2504,-119149309.8766,-119136726.0983,-119123586.9224,-119138017.5883,317913.5935,-119129344.2654,-2837.2074,811.4557,-5245.1145,-1122.3188,4944.4204,-4916.4178,1020.6884,-6309.8281,-1631.0715,-3638.0248,3970.6849,-2030.1204,1400.4385,-4165.6328,3000.0268,-4735.4012,4705.8229,4582.2042,4556.5682,-3150.8376,-183846.1306,-188633.8665,-188256.3024,-184021.3156,-181660.0355,-190903.6142,-196321.3594,-185956.6595,68558018.0931,68535479.8558,68534258.2366,68548108.8238,-187673.6129,68555268.7870,
