sl_20_5400_20240806 Coordinates.csv
2024/08/06 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:28 2024,
Start: 2024/08/06 07:47:00.00, Stop: 2024/08/06 09:17:00.00,
TIME_UNITS,STARLINK-3233 - X-Coordinate,STARLINK-3757 - X-Coordinate,STARLINK-5572 - X-Coordinate,STARLINK-31386 - X-Coordinate,STARLINK-2602 - X-Coordinate,STARLINK-1741 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-2623 - X-Coordinate,STARLINK-5112 - X-Coordinate,STARLINK-11142 [DTC] - X-Coordinate,STARLINK-5279 - X-Coordinate,STARLINK-6243 - X-Coordinate,STARLINK-3555 - X-Coordinate,STARLINK-31563 - X-Coordinate,STARLINK-6365 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-2421 - X-Coordinate,STARLINK-32005 - X-Coordinate,STARLINK-31824 - X-Coordinate,STARLINK-2409 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-3757 - Y-Coordinate,STARLINK-5572 - Y-Coordinate,STARLINK-31386 - Y-Coordinate,STARLINK-2602 - Y-Coordinate,STARLINK-1741 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-2623 - Y-Coordinate,STARLINK-5112 - Y-Coordinate,STARLINK-11142 [DTC] - Y-Coordinate,STARLINK-5279 - Y-Coordinate,STARLINK-6243 - Y-Coordinate,STARLINK-3555 - Y-Coordinate,STARLINK-31563 - Y-Coordinate,STARLINK-6365 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-2421 - Y-Coordinate,STARLINK-32005 - Y-Coordinate,STARLINK-31824 - Y-Coordinate,STARLINK-2409 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-3757 - Z-Coordinate,STARLINK-5572 - Z-Coordinate,STARLINK-31386 - Z-Coordinate,STARLINK-2602 - Z-Coordinate,STARLINK-1741 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-2623 - Z-Coordinate,STARLINK-5112 - Z-Coordinate,STARLINK-11142 [DTC] - Z-Coordinate,STARLINK-5279 - Z-Coordinate,STARLINK-6243 - Z-Coordinate,STARLINK-3555 - Z-Coordinate,STARLINK-31563 - Z-Coordinate,STARLINK-6365 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-2421 - Z-Coordinate,STARLINK-32005 - Z-Coordinate,STARLINK-31824 - Z-Coordinate,STARLINK-2409 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5299.9437,-3710.1672,-5829.8739,2557.5530,2667.5819,2207.0069,1561.2045,-4610.3899,2011.2680,-5794.0375,-6051.8679,-3295.6379,2258.8192,3628.9701,5044.9351,-1780.5828,-4873.0974,3073.7984,-6579.4079,-3550.4801,-41955.7958,-14725.1183,-22935.1040,-29508.0560,-21526.1703,-25491.7250,-25869.4825,-26176.5844,-218350456.9121,-218339409.7191,-218347958.2919,-218376721.6590,-27028.7549,-218369654.3490,-1577.3723,-5258.5944,1391.3908,4391.9901,-3700.8457,-3729.5807,4461.6043,-2852.7393,-5778.7575,-3178.0938,318.9158,-6099.5736,3521.7832,-5202.5572,1468.8109,3812.0675,-3233.0664,3584.1738,1776.5101,-3103.0483,394620.4885,407443.4386,387896.0244,387375.6390,388174.7277,387992.3898,396476.0974,392096.7852,-9041328.4960,-9030536.1319,-9045117.1518,-9034197.6879,391986.6679,-9039998.7134,4149.5093,2538.2222,-3499.0803,-4555.5739,-5221.0839,5395.3118,-5056.4552,-4318.3419,3221.3458,1318.8938,-3343.3831,227.0937,5502.4298,2504.6535,-4533.6365,-5269.9305,3706.4461,-4956.4373,283.3814,5066.4049,88646.8375,85226.9525,82345.4894,90921.8534,87872.9808,77222.6057,78458.9995,85978.1091,86572279.8242,86550864.1366,86586760.3800,86569488.7854,84404.0654,86579140.6309,
300.000,3743.9856,-4947.2396,-4563.9339,4120.9582,561.7425,84.7180,3491.2135,-5985.7559,334.9868,-6387.6306,-6472.3838,-4424.2773,4086.5470,2405.3825,5751.9852,407.5383,-6144.5063,4847.8220,-5914.7283,-4057.8716,-50412.3265,-23307.4605,-31329.4688,-37836.0444,-29779.7300,-33741.6377,-34233.1985,-34167.3394,-218098123.3704,-218087417.4464,-218095232.8844,-218124775.2699,-35336.5010,-218117246.2245,-2762.5463,-4770.6227,2918.5133,2883.6253,-4131.8929,-4202.7673,4393.0710,-1840.4279,-5233.3060,-2090.3253,1728.6922,-5049.8831,2441.5441,-6293.0372,-449.3436,4081.5078,-2334.7444,2831.3055,3155.9109,-1033.1552,393598.5186,407060.6210,387162.3899,386794.6424,387544.3080,387308.0604,395804.4096,391759.1540,-13806312.6335,-13795029.9638,-13809613.0262,-13799628.1205,391360.1714,-13805039.1942,5111.6049,809.3862,-4338.4855,-4613.4466,-5539.1410,5497.2835,-4051.7818,-2969.1819,4504.7550,-514.3314,-1734.9293,1737.6716,5013.4786,1070.2401,-3855.8701,-5352.5242,2181.8466,-3916.1997,-1265.7337,5510.2634,88538.1962,85090.3989,82266.7309,90698.3849,87915.2930,77255.9983,78140.4294,85592.6616,86572499.2254,86551201.4975,86586897.2350,86570131.9643,84279.5404,86579575.6211,
600.000,1834.6748,-5686.7653,-2876.7679,5298.0755,-1592.2638,-2033.6489,5060.3406,-6772.0041,-1411.6342,-6294.8423,-6258.4467,-5139.6871,5528.8387,946.8971,5932.5473,2545.1663,-6804.5262,6125.5523,-4643.6248,-4225.8252,-58842.5973,-31880.8996,-39710.5334,-46150.9028,-38021.6393,-41975.2143,-42581.0183,-42242.8260,-217741827.7206,-217731472.0235,-217738563.4698,-217768838.3422,-43629.8747,-217760874.1041,-3728.1174,-3815.6580,4201.6009,1114.7638,-4218.5244,-4321.1135,3932.5057,-679.7044,-4202.8752,-771.6410,2949.0885,-3504.0586,1171.8696,-6739.6844,-2300.4614,3976.0185,-1229.7199,1833.0413,4225.5474,1131.9857,392395.0055,406496.1750,386254.8120,386038.0034,386742.0076,386451.4205,394951.9511,391227.5080,-18564588.4289,-18552826.2662,-18567384.6284,-18558372.8994,390557.5604,-18563367.9942,5523.2392,-1006.6337,-4715.8270,-4155.0686,-5266.4104,5009.6575,-2611.9231,-1302.0612,5302.8900,-2287.6813,60.2670,3062.3536,3984.8639,-484.4768,-2767.0461,-4815.1137,422.9640,-2441.1904,-2672.6759,5363.2570,88429.0343,84953.7528,82191.7582,90469.8511,87953.9878,77294.8359,77827.8432,85108.8966,86572721.6258,86551540.0961,86587031.7551,86570790.6332,84154.9691,86580010.4107,
900.000,-235.3293,-5868.8094,-933.6431,5965.1726,-3581.5088,-3938.3069,6116.8365,-6888.8869,-3060.6455,-5534.7877,-5421.6730,-5384.5135,6436.9649,-612.7255,5559.9659,4402.3698,-6789.9912,6773.8080,-2892.9600,-4035.9062,-67242.7213,-40441.5729,-48074.5354,-54448.8393,-46248.1262,-50188.9575,-50908.9372,-50412.7098,-217281742.5506,-217271745.7532,-217278123.1893,-217309081.7873,-51905.1417,-217300710.7216,-4382.2264,-2473.0411,5119.9398,-737.6890,-3948.7809,-4067.1229,3109.2342,533.6272,-2797.3869,654.9084,3876.8169,-1607.0453,-171.7005,-6500.3915,-3911.8642,3500.0844,-7.6992,674.4754,4890.4450,3177.0573,391010.6555,405750.2941,385173.7206,385106.1124,385767.8701,385423.0128,393919.3363,390478.1192,-23313887.9692,-23301657.2894,-23316164.7595,-23308162.4670,389579.1619,-23312717.1225,5340.3194,-2714.3552,-4591.1218,-3231.4046,-4431.6966,3984.5861,-891.0849,504.6761,5530.1187,-3794.9659,1848.9445,4059.4955,2527.0872,-1984.7905,-1382.8633,-3719.4592,-1381.3450,-694.7151,-3779.7691,4641.1428,88319.3577,84817.0150,82120.4771,90236.1507,87989.0693,77339.1895,77521.1520,84554.7103,86572947.1213,86551879.9480,86587164.0502,86571464.6547,84030.3515,86580444.9997,
1200.000,-2259.8319,-5489.0958,1077.9551,6046.9149,-5209.9119,-5442.1141,6561.4512,-6323.4616,-4449.1147,-4198.0956,-4037.0004,-5144.4128,6714.1751,-2128.9434,4659.2782,5779.8348,-6105.9614,6724.7948,-839.3220,-3498.4765,-75608.8307,-48985.6220,-56417.7231,-62726.0644,-54455.4297,-58379.3956,-59212.9796,-58677.3442,-216718089.9153,-216708460.4024,-216714134.6233,-216745726.0460,-60158.5750,-216736978.2806,-4657.4399,-862.1067,5583.3747,-2491.5620,-3339.2084,-3454.1812,1986.1648,1699.8759,-1159.3606,2051.8510,4438.0764,460.5009,-1470.9579,-5603.8512,-5135.8736,2691.2355,1230.4540,-545.5614,5094.3738,4899.5696,389446.2571,404823.2548,383919.6232,383999.4504,384622.0323,384223.4610,392707.2519,389490.4132,-28051947.6778,-28039259.6141,-28053690.5744,-28046731.4924,388425.3818,-28050822.9308,4582.5068,-4130.3914,-3977.5068,-1945.4587,-3123.4767,2531.8212,925.7231,2257.2219,5162.1336,-4861.6086,3438.2832,4622.6301,797.0376,-3262.3900,149.1006,-2191.9136,-3037.5111,1129.1005,-4463.3654,3421.1528,88209.1718,84680.1866,82052.7860,89997.1771,88020.5436,77389.1322,77220.2699,83962.2490,86573175.8066,86552221.0690,86587294.2279,86572153.8798,83905.6877,86580879.3882,
1500.000,-4039.6557,-4597.5414,2966.1930,5525.2821,-6317.6526,-6399.2838,6357.2414,-5131.7674,-5435.1928,-2435.3668,-2235.9212,-4448.1967,6326.5189,-3459.7255,3306.3181,6530.5808,-4824.5961,5983.8036,1309.1071,-2652.7701,-83937.0787,-57509.1940,-64736.3568,-70978.7920,-62639.8004,-66543.0846,-67489.1991,-67028.0908,-216051141.2288,-216041887.0953,-216046869.6842,-216079040.9853,-68386.4566,-216069948.3476,-4517.7683,868.5612,5541.1419,-3977.1971,-2434.6130,-2526.7427,655.7121,2723.3435,550.6412,3280.3587,4594.0351,2499.6721,-2615.2679,-4145.7591,-5863.5614,1618.0124,2380.7469,-1722.4830,4823.9165,6130.0965,387702.6810,403715.4154,382493.1039,382718.5894,383304.7232,382853.4690,391316.4570,388248.5819,-32776509.3934,-32763375.2301,-32777704.6596,-32771819.9491,387096.7054,-32775427.1926,3331.1711,-5103.2293,-2939.9408,-441.1264,-1480.9915,807.1872,2642.7168,3767.4391,4238.4335,-5364.6063,4657.0665,4691.7374,-1018.8937,-4174.3487,1665.0971,-409.4253,-4368.3178,2827.0540,-4647.3661,1833.9707,88098.4821,84543.2684,81988.5765,89752.8183,88048.4192,77444.7402,76925.1140,83365.6196,86573407.7746,86552563.4751,86587422.3941,86572858.1462,83780.9778,86581313.5761,
1800.000,-5402.3755,-3291.4310,4553.0367,4442.9832,-6797.3435,-6719.9802,5532.6673,-3433.0123,-5912.7474,-439.7108,-193.5792,-3364.2469,5307.1519,-4478.5904,1621.6568,6576.3642,-3076.9514,4628.7535,3333.6218,-1564.7129,-92223.6408,-66008.4439,-73026.7103,-79203.2409,-70797.5018,-74676.6118,-75733.6792,-75448.1846,-215281217.1350,-215272346.1823,-215276649.4850,-215309345.7729,-76585.0794,-215299941.7207,-3963.4209,2554.9082,4987.6547,-5053.9623,-1305.6082,-1357.8329,-767.4617,3519.8540,2169.7036,4213.6671,4342.7148,4312.5424,-3510.8047,-2278.0574,-6034.5858,375.0265,3344.4474,-2754.6011,4108.6893,6749.3739,385780.8787,402427.2170,380894.8227,381264.1931,381816.2626,381313.8219,389747.7833,386742.8344,-37485321.4459,-37471752.6125,-37485956.1082,-37481174.1914,385593.6966,-37484278.1793,1720.8953,-5529.1537,-1588.6201,1112.7605,320.2089,-1004.1307,4074.8161,4873.3888,2858.2294,-5246.1410,5374.2678,4259.4969,-2725.1771,-4618.9487,3002.9033,1420.7223,-5231.8723,4209.9154,-4311.3494,49.8932,87987.2941,84406.2613,81927.7336,89502.9559,88072.7058,77506.0922,76635.6041,82798.7017,86573643.1168,86552907.1827,86587548.6530,86573577.2767,83656.2218,86581747.5634,
2100.000,-6219.3770,-1704.4538,5691.1433,2900.5314,-6605.0455,-6379.0129,4177.6123,-1397.0950,-5823.1482,1574.3680,1888.6519,-1993.7444,3753.3900,-5086.2333,-240.1687,5916.4174,-1039.0099,2801.5836,5026.9974,-322.3516,-100464.7167,-74479.5359,-81285.0725,-87395.6354,-78924.8110,-82776.5981,-83942.5336,-83914.0083,-214408687.3525,-214400207.0867,-214403844.1856,-214437008.7283,-84750.7486,-214427328.2759,-3032.5606,4032.8026,3964.4789,-5623.7372,-43.7852,-43.7802,-2156.2270,4023.2579,3548.0829,4749.7695,3717.4195,5721.4147,-4087.8615,-192.7695,-5642.0196,-924.8118,4036.1161,-3551.5906,3018.0317,6700.3059,383681.8826,400959.1824,379125.5157,379637.0189,380157.0602,379605.3858,388002.1361,384970.2700,-42176139.7296,-42162147.7948,-42176201.5921,-42172548.0269,383916.9979,-42175131.7332,-74.8551,-5362.8379,-67.5532,2541.5176,2087.0306,-2707.7494,5067.8836,5456.7498,1170.0333,-4519.8153,5512.9726,3372.0285,-4138.5391,-4546.6936,4019.4195,3085.2670,-5536.3953,5123.7959,-3492.7123,-1739.5612,87875.6128,84269.1661,81870.1355,89247.4659,88093.4143,77573.2692,76351.6631,82293.1119,86573881.9231,86553252.2081,86587673.1065,86574311.0768,83531.4199,86582181.3501,
2400.000,-6418.3526,6.9993,6277.8349,1046.9831,-5764.5853,-5417.5137,2433.0637,772.8607,-5162.7412,3393.6656,3803.1761,-461.3409,1816.9028,-5219.8895,-2105.0091,4627.1039,1086.2438,692.7830,6214.5524,970.9057,-108656.5320,-82918.6455,-89507.7491,-95552.2063,-87018.0204,-90839.7020,-92111.9069,-92396.6736,-213433970.4981,-213425888.1272,-213428872.8144,-213462447.1501,-92879.7835,-213452526.7888,-1799.4749,5153.7319,2557.9138,-5639.8125,1245.3047,1303.4692,-3382.2733,4190.4744,4563.1733,4822.4674,2782.2775,6586.3959,-4305.5837,1897.7023,-4731.7776,-2160.2660,4390.7522,-4041.9929,1654.5481,5993.3210,381406.8052,399311.9166,377185.9940,377837.9180,378327.6143,377729.1078,386080.4939,382935.3589,-46846728.7726,-46832325.4381,-46846206.4304,-46843703.7846,382067.3302,-46845752.3376,-1862.5667,-4621.8898,1460.7208,3684.5194,3629.8628,-4121.2843,5515.2932,5455.2604,-644.2585,-3269.1976,5058.3659,2124.0748,-5107.7303,-3965.5795,4606.0715,4390.2803,-5249.5349,5467.2162,-2282.6993,-3342.5479,87763.4433,84131.9838,81815.6545,88986.2175,88110.5563,77646.3542,76073.2171,81876.3345,86574124.2815,86553598.5682,86587795.8554,86575059.3320,83406.5720,86582614.9363,
