sl_100_5400_20240713 Coordinates.csv
2024/07/13 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:19 2024,
Start: 2024/07/13 07:47:00.00, Stop: 2024/07/13 09:17:00.00,
TIME_UNITS,STARLINK-31664 - X-Coordinate,STARLINK-5907 - X-Coordinate,STARLINK-31595 - X-Coordinate,STARLINK-31790 - X-Coordinate,STARLINK-30333 - X-Coordinate,STARLINK-3580 - X-Coordinate,STARLINK-2370 - X-Coordinate,STARLINK-31114 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-30605 - X-Coordinate,STARLINK-31291 - X-Coordinate,STARLINK-30052 - X-Coordinate,STARLINK-30759 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-6377 - X-Coordinate,STARLINK-4432 - X-Coordinate,STARLINK-11260 [DTC] - X-Coordinate,STARLINK-4568 - X-Coordinate,STARLINK-30760 - X-Coordinate,STARLINK-3855 - X-Coordinate,STARLINK-32135 - X-Coordinate,STARLINK-31594 - X-Coordinate,STARLINK-31210 - X-Coordinate,STARLINK-31746 - X-Coordinate,STARLINK-4352 - X-Coordinate,STARLINK-2024 - X-Coordinate,STARLINK-5257 - X-Coordinate,STARLINK-5789 - X-Coordinate,STARLINK-5960 - X-Coordinate,STARLINK-2321 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-2368 - X-Coordinate,STARLINK-5696 - X-Coordinate,STARLINK-3759 - X-Coordinate,STARLINK-5224 - X-Coordinate,STARLINK-31262 - X-Coordinate,STARLINK-11077 [DTC] - X-Coordinate,STARLINK-30153 - X-Coordinate,STARLINK-1723 - X-Coordinate,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-5423 - X-Coordinate,STARLINK-3919 - X-Coordinate,STARLINK-5402 - X-Coordinate,STARLINK-2422 - X-Coordinate,STARLINK-30279 - X-Coordinate,STARLINK-2097 - X-Coordinate,STARLINK-31518 - X-Coordinate,STARLINK-5825 - X-Coordinate,STARLINK-32121 - X-Coordinate,STARLINK-2293 - X-Coordinate,STARLINK-4426 - X-Coordinate,STARLINK-31687 - X-Coordinate,STARLINK-5433 - X-Coordinate,STARLINK-31695 - X-Coordinate,STARLINK-2404 - X-Coordinate,STARLINK-1861 - X-Coordinate,STARLINK-5900 - X-Coordinate,STARLINK-30793 - X-Coordinate,STARLINK-30238 - X-Coordinate,STARLINK-2734 - X-Coordinate,STARLINK-5310 - X-Coordinate,STARLINK-31768 - X-Coordinate,STARLINK-5480 - X-Coordinate,STARLINK-1312 - X-Coordinate,STARLINK-4324 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-32252 - X-Coordinate,STARLINK-31073 - X-Coordinate,STARLINK-30533 - X-Coordinate,STARLINK-30525 - X-Coordinate,STARLINK-1117 - X-Coordinate,STARLINK-31475 - X-Coordinate,STARLINK-32371 - X-Coordinate,STARLINK-31340 - X-Coordinate,STARLINK-31667 - X-Coordinate,STARLINK-31052 - X-Coordinate,STARLINK-31017 - X-Coordinate,STARLINK-2484 - X-Coordinate,STARLINK-3683 - X-Coordinate,STARLINK-3399 - X-Coordinate,STARLINK-1319 - X-Coordinate,STARLINK-1365 - X-Coordinate,STARLINK-1832 - X-Coordinate,STARLINK-1714 - X-Coordinate,STARLINK-4286 - X-Coordinate,STARLINK-2365 - X-Coordinate,STARLINK-31050 - X-Coordinate,STARLINK-31125 - X-Coordinate,STARLINK-31106 - X-Coordinate,STARLINK-2013 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-2038 - X-Coordinate,STARLINK-3326 - X-Coordinate,STARLINK-5622 - X-Coordinate,STARLINK-3681 - X-Coordinate,STARLINK-5656 - X-Coordinate,STARLINK-4757 - X-Coordinate,STARLINK-30607 - X-Coordinate,STARLINK-2008 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31664 - Y-Coordinate,STARLINK-5907 - Y-Coordinate,STARLINK-31595 - Y-Coordinate,STARLINK-31790 - Y-Coordinate,STARLINK-30333 - Y-Coordinate,STARLINK-3580 - Y-Coordinate,STARLINK-2370 - Y-Coordinate,STARLINK-31114 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-30605 - Y-Coordinate,STARLINK-31291 - Y-Coordinate,STARLINK-30052 - Y-Coordinate,STARLINK-30759 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-6377 - Y-Coordinate,STARLINK-4432 - Y-Coordinate,STARLINK-11260 [DTC] - Y-Coordinate,STARLINK-4568 - Y-Coordinate,STARLINK-30760 - Y-Coordinate,STARLINK-3855 - Y-Coordinate,STARLINK-32135 - Y-Coordinate,STARLINK-31594 - Y-Coordinate,STARLINK-31210 - Y-Coordinate,STARLINK-31746 - Y-Coordinate,STARLINK-4352 - Y-Coordinate,STARLINK-2024 - Y-Coordinate,STARLINK-5257 - Y-Coordinate,STARLINK-5789 - Y-Coordinate,STARLINK-5960 - Y-Coordinate,STARLINK-2321 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-2368 - Y-Coordinate,STARLINK-5696 - Y-Coordinate,STARLINK-3759 - Y-Coordinate,STARLINK-5224 - Y-Coordinate,STARLINK-31262 - Y-Coordinate,STARLINK-11077 [DTC] - Y-Coordinate,STARLINK-30153 - Y-Coordinate,STARLINK-1723 - Y-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-5423 - Y-Coordinate,STARLINK-3919 - Y-Coordinate,STARLINK-5402 - Y-Coordinate,STARLINK-2422 - Y-Coordinate,STARLINK-30279 - Y-Coordinate,STARLINK-2097 - Y-Coordinate,STARLINK-31518 - Y-Coordinate,STARLINK-5825 - Y-Coordinate,STARLINK-32121 - Y-Coordinate,STARLINK-2293 - Y-Coordinate,STARLINK-4426 - Y-Coordinate,STARLINK-31687 - Y-Coordinate,STARLINK-5433 - Y-Coordinate,STARLINK-31695 - Y-Coordinate,STARLINK-2404 - Y-Coordinate,STARLINK-1861 - Y-Coordinate,STARLINK-5900 - Y-Coordinate,STARLINK-30793 - Y-Coordinate,STARLINK-30238 - Y-Coordinate,STARLINK-2734 - Y-Coordinate,STARLINK-5310 - Y-Coordinate,STARLINK-31768 - Y-Coordinate,STARLINK-5480 - Y-Coordinate,STARLINK-1312 - Y-Coordinate,STARLINK-4324 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-32252 - Y-Coordinate,STARLINK-31073 - Y-Coordinate,STARLINK-30533 - Y-Coordinate,STARLINK-30525 - Y-Coordinate,STARLINK-1117 - Y-Coordinate,STARLINK-31475 - Y-Coordinate,STARLINK-32371 - Y-Coordinate,STARLINK-31340 - Y-Coordinate,STARLINK-31667 - Y-Coordinate,STARLINK-31052 - Y-Coordinate,STARLINK-31017 - Y-Coordinate,STARLINK-2484 - Y-Coordinate,STARLINK-3683 - Y-Coordinate,STARLINK-3399 - Y-Coordinate,STARLINK-1319 - Y-Coordinate,STARLINK-1365 - Y-Coordinate,STARLINK-1832 - Y-Coordinate,STARLINK-1714 - Y-Coordinate,STARLINK-4286 - Y-Coordinate,STARLINK-2365 - Y-Coordinate,STARLINK-31050 - Y-Coordinate,STARLINK-31125 - Y-Coordinate,STARLINK-31106 - Y-Coordinate,STARLINK-2013 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-2038 - Y-Coordinate,STARLINK-3326 - Y-Coordinate,STARLINK-5622 - Y-Coordinate,STARLINK-3681 - Y-Coordinate,STARLINK-5656 - Y-Coordinate,STARLINK-4757 - Y-Coordinate,STARLINK-30607 - Y-Coordinate,STARLINK-2008 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31664 - Z-Coordinate,STARLINK-5907 - Z-Coordinate,STARLINK-31595 - Z-Coordinate,STARLINK-31790 - Z-Coordinate,STARLINK-30333 - Z-Coordinate,STARLINK-3580 - Z-Coordinate,STARLINK-2370 - Z-Coordinate,STARLINK-31114 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-30605 - Z-Coordinate,STARLINK-31291 - Z-Coordinate,STARLINK-30052 - Z-Coordinate,STARLINK-30759 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-6377 - Z-Coordinate,STARLINK-4432 - Z-Coordinate,STARLINK-11260 [DTC] - Z-Coordinate,STARLINK-4568 - Z-Coordinate,STARLINK-30760 - Z-Coordinate,STARLINK-3855 - Z-Coordinate,STARLINK-32135 - Z-Coordinate,STARLINK-31594 - Z-Coordinate,STARLINK-31210 - Z-Coordinate,STARLINK-31746 - Z-Coordinate,STARLINK-4352 - Z-Coordinate,STARLINK-2024 - Z-Coordinate,STARLINK-5257 - Z-Coordinate,STARLINK-5789 - Z-Coordinate,STARLINK-5960 - Z-Coordinate,STARLINK-2321 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-2368 - Z-Coordinate,STARLINK-5696 - Z-Coordinate,STARLINK-3759 - Z-Coordinate,STARLINK-5224 - Z-Coordinate,STARLINK-31262 - Z-Coordinate,STARLINK-11077 [DTC] - Z-Coordinate,STARLINK-30153 - Z-Coordinate,STARLINK-1723 - Z-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-5423 - Z-Coordinate,STARLINK-3919 - Z-Coordinate,STARLINK-5402 - Z-Coordinate,STARLINK-2422 - Z-Coordinate,STARLINK-30279 - Z-Coordinate,STARLINK-2097 - Z-Coordinate,STARLINK-31518 - Z-Coordinate,STARLINK-5825 - Z-Coordinate,STARLINK-32121 - Z-Coordinate,STARLINK-2293 - Z-Coordinate,STARLINK-4426 - Z-Coordinate,STARLINK-31687 - Z-Coordinate,STARLINK-5433 - Z-Coordinate,STARLINK-31695 - Z-Coordinate,STARLINK-2404 - Z-Coordinate,STARLINK-1861 - Z-Coordinate,STARLINK-5900 - Z-Coordinate,STARLINK-30793 - Z-Coordinate,STARLINK-30238 - Z-Coordinate,STARLINK-2734 - Z-Coordinate,STARLINK-5310 - Z-Coordinate,STARLINK-31768 - Z-Coordinate,STARLINK-5480 - Z-Coordinate,STARLINK-1312 - Z-Coordinate,STARLINK-4324 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-32252 - Z-Coordinate,STARLINK-31073 - Z-Coordinate,STARLINK-30533 - Z-Coordinate,STARLINK-30525 - Z-Coordinate,STARLINK-1117 - Z-Coordinate,STARLINK-31475 - Z-Coordinate,STARLINK-32371 - Z-Coordinate,STARLINK-31340 - Z-Coordinate,STARLINK-31667 - Z-Coordinate,STARLINK-31052 - Z-Coordinate,STARLINK-31017 - Z-Coordinate,STARLINK-2484 - Z-Coordinate,STARLINK-3683 - Z-Coordinate,STARLINK-3399 - Z-Coordinate,STARLINK-1319 - Z-Coordinate,STARLINK-1365 - Z-Coordinate,STARLINK-1832 - Z-Coordinate,STARLINK-1714 - Z-Coordinate,STARLINK-4286 - Z-Coordinate,STARLINK-2365 - Z-Coordinate,STARLINK-31050 - Z-Coordinate,STARLINK-31125 - Z-Coordinate,STARLINK-31106 - Z-Coordinate,STARLINK-2013 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-2038 - Z-Coordinate,STARLINK-3326 - Z-Coordinate,STARLINK-5622 - Z-Coordinate,STARLINK-3681 - Z-Coordinate,STARLINK-5656 - Z-Coordinate,STARLINK-4757 - Z-Coordinate,STARLINK-30607 - Z-Coordinate,STARLINK-2008 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5050.5117,-277.1987,-2353.6124,3652.9646,-3127.8944,1000.3219,-3303.9225,-6766.8371,-6639.8653,-1146.7845,-5255.1103,4182.9640,-5831.3507,375.4650,-1493.5690,-701.2021,4208.0264,-5383.5857,-2058.6213,1091.6238,4363.3766,6612.6848,5267.1583,-2491.5188,3850.3236,-2290.3851,5156.6283,1456.0918,-2477.7408,-5247.3572,457.4143,4632.8265,-5750.2229,-3383.7176,1930.9625,-4713.5692,6265.9603,1948.2504,3617.9058,4800.9746,-6454.6714,3814.1646,3171.0506,-3705.4422,-182.0231,6231.1352,5809.5556,3685.2874,-102.9028,1284.9815,-268.1534,-1558.3950,4005.5155,938.9677,-4429.6106,-2787.7162,2889.6192,-3705.6602,4068.6382,-2484.2805,-2581.6165,-4118.0711,3272.2607,-3544.2261,-925.7877,4104.8054,-3281.9298,1235.9958,6260.9749,-1197.6895,-2851.3340,-2783.1255,309.6600,5204.3123,3800.0019,992.7486,-5531.7312,-5323.9352,-1726.3644,-2739.3518,-4903.7670,3895.7848,886.6153,-4568.5129,3716.7428,5252.7139,2577.0710,-6008.8004,5742.5962,-5894.7086,2293.5255,-5492.2303,5998.7872,6083.0836,4069.1406,-4655.2552,6273.7222,-2229.2743,5461.5634,-6844.8410,313876.6206,342997.0237,330474.1451,324118.5547,331725.8310,327992.9225,331077.2342,330012.1884,-238957578.4246,-238966144.6070,-238962362.6310,-238951403.1999,328201.5240,-238951270.6982,504.9454,5685.7171,6273.2514,3707.2341,-6191.0858,5984.3994,6037.6601,1376.0115,-1091.4798,5378.7405,878.2435,3244.1284,-2558.1251,5082.5912,-5758.6065,6183.9035,3667.8069,-1441.0941,-5869.8176,4002.1594,-197.8042,-555.9246,4370.0912,5054.0540,3231.0362,-4718.7279,-2377.3617,-6279.9009,-5014.2575,4431.7337,5058.0095,-1074.0708,-3783.8791,6013.0122,-6320.3281,-2701.4795,1770.5268,4715.5663,-2871.7421,-3199.8435,2528.6164,3928.9705,-4311.1938,5204.6461,-6827.0256,-554.2967,-2184.5346,-5849.5842,5710.4576,-6070.6277,6930.3629,4848.8126,4146.8388,4899.0001,-5297.3854,-4045.1828,408.2774,-5557.0725,-5403.7878,5887.4672,1309.8280,-3447.4749,-3201.2967,-5712.9345,-1657.6854,4081.0662,-4382.1108,4007.2266,-320.3988,-5945.6762,3559.8603,5361.8084,-4052.3234,-4414.4268,3689.0259,5205.9462,3847.8243,-538.6344,-6548.7375,6288.3739,-17.0836,1485.0974,6872.1309,-4876.3081,1868.9177,-596.0301,-3443.5391,3297.7377,-3674.0549,-1007.4806,3619.6441,3105.9968,-1483.4521,2734.2418,-3122.5940,-3519.6245,1258.6022,-5722.9025,-4118.5184,-61.3646,229476.8725,231084.1931,225873.8274,227940.9599,225502.7109,226937.5526,234842.3141,231366.9817,17391964.9952,17377227.1375,17385693.7229,17384634.2365,231185.1937,17376474.9613,-4564.3945,3957.2998,1444.1442,-4221.9748,-58.7396,-3332.7294,807.8728,-639.7188,-1384.7611,4086.7380,-4338.8410,4475.1643,-2760.2197,-4714.0264,3560.5550,-3091.3890,3575.6000,-4105.8581,3063.3656,-5542.9181,-5253.6865,-1578.0057,-568.6226,-3843.4272,-4798.1895,4516.0776,4005.3692,-2567.0655,-4109.4444,-935.2155,4716.5181,5034.9286,-876.5963,509.8282,2161.0689,-4307.6420,-1727.4704,4692.5042,5152.8854,3436.6932,-573.6602,-4233.8830,4404.7396,2675.5652,-1236.6652,-2986.1587,2837.2421,-723.1458,3744.0908,-3090.3536,376.1048,4526.9243,-3831.8206,-4629.6907,546.2973,-4892.4721,-6315.5454,1868.2137,1537.4772,2678.4426,-6324.4482,4196.2589,5221.7215,1677.8784,6669.6901,-3830.4388,-4187.5430,-5523.4676,-2969.0494,-3372.8100,-5224.8543,3160.3016,5421.0949,-158.9855,-4306.8024,-4482.5618,1064.4347,4394.1946,-1425.8070,-1010.4911,4885.6035,-5536.0280,191.3444,1849.7493,-5536.7340,4472.5535,-5341.9404,-460.3518,836.1997,3486.6919,-5181.4158,2877.0346,-3135.3293,-1846.4947,-4677.7973,3723.1760,-2689.4424,-3204.5116,174.6530,1061.4208,-40857.3373,-43933.7647,-45173.8276,-36519.9730,-39677.8251,-50314.9622,-48977.2370,-43151.0928,78573609.6421,78568686.2829,78554779.3039,78551073.3388,-43087.2853,78561877.1229,
300.000,-4337.5022,1646.6189,-934.2941,4584.9106,-4301.3835,2446.2113,-1975.1204,-6033.1201,-6853.7334,644.0497,-5146.5148,4918.0481,-5731.9392,2464.8057,-3010.0867,-988.9727,5608.2199,-6379.5439,-3736.8148,3126.3531,3477.3361,5805.9812,6059.3377,-417.0990,2170.7104,-4052.8262,5633.2986,-320.9030,-3843.0706,-4391.3307,2560.4309,4775.3280,-6454.9592,-2238.2096,1400.4586,-4522.9016,5841.0426,3877.7528,1688.5789,3033.1701,-5740.7835,4159.3829,1690.2337,-2053.4291,-1691.8236,6524.8119,5702.6206,3089.0720,1362.4197,-287.0481,-701.9096,613.0368,5467.5764,2748.0004,-5045.0651,-3680.3904,1867.9551,-5035.2258,2442.6126,-1412.1224,-2718.6187,-5580.4932,1323.9808,-4210.5584,997.1097,4801.9775,-3868.8967,3278.4739,5175.2257,-2745.6591,-1645.5427,-823.0416,-1870.1693,3992.5315,5352.7602,3009.4132,-4180.0088,-4353.2037,-2912.7035,-1603.3455,-3852.7544,4448.2202,2026.8614,-4947.6129,4406.9017,5710.3868,1130.9290,-4897.1306,4482.0513,-6648.3251,4213.0418,-3925.1081,6106.3677,5874.6117,2780.5739,-5983.8196,5785.8371,-3148.2788,4492.9383,-6791.1884,309029.5275,337887.7721,325354.6596,319119.5136,326776.5709,323023.4534,326009.3961,324921.8751,-239276844.0828,-239285289.6652,-239282106.3036,-239271363.4559,323203.1893,-239270611.2245,2556.8506,4936.2859,6039.5258,1749.5084,-5209.4541,6241.6099,6138.5407,2456.7331,422.8003,4574.4380,2882.0488,1232.7957,-702.5642,4578.1674,-4457.7590,4824.2037,2912.3474,-126.6302,-5577.9068,3305.6345,-2190.8680,-2055.5423,3075.8050,5116.0848,2450.3008,-4581.5820,-3467.8412,-5855.6460,-3438.1722,5289.1985,4730.9133,-2997.3692,-2452.7403,6417.4304,-6813.2033,-729.9343,321.3404,3855.7648,-3809.6697,-3801.1700,2920.3258,1990.9182,-5667.1678,5192.0629,-6722.9919,-1927.8651,-3575.5068,-6064.8818,6313.2801,-5343.7236,6659.1102,4973.0655,3547.0093,5202.4410,-4151.3336,-2149.3573,-1536.3244,-4758.0091,-5808.1484,6715.4204,3337.8962,-2105.4080,-2827.2807,-4407.9292,-439.5696,2164.3582,-2502.6146,3429.2332,-1633.7308,-4740.0413,5143.6520,5376.0906,-4042.8754,-5358.2466,2409.0821,5001.8315,4773.8011,1215.6317,-6264.8148,6695.4657,1800.6940,-601.3534,6328.6814,-3430.8313,-183.6953,-2289.7602,-4924.7054,4404.0402,-4667.2680,298.1678,2859.4193,4146.5551,-2912.1683,1258.0322,-4778.9238,-2700.4701,-522.2232,-4228.8256,-4897.9850,1150.6059,235998.7398,238224.0938,232713.0740,234897.2353,232382.6758,233766.5088,241730.8893,238401.5733,12171035.5227,12156083.8739,12164490.6486,12163778.2280,238091.3061,12155573.0105,-4610.1397,4579.0905,3098.3714,-4564.3144,-1580.1258,-1722.3989,2532.0775,-2382.5293,153.9734,5058.0522,-3523.8634,4725.6348,-3851.2233,-4600.4647,4372.2576,-4903.7048,2010.8471,-2682.6071,1738.7243,-5218.5065,-5457.9616,-2934.4076,982.7808,-4492.5919,-6130.1567,3242.6023,2138.0476,-3710.6307,-4646.1570,875.8118,4370.9618,4024.6837,668.1082,-1302.0496,68.2232,-5204.6284,-3343.2128,4260.4729,5523.7735,4628.2350,-2631.8486,-5162.4762,3617.0854,4095.6379,300.4543,-1321.8562,1139.6089,1400.2277,2223.7921,-4407.6233,-1853.1952,4617.2751,-2331.9815,-3419.3758,2295.3432,-5469.0222,-6522.7215,367.7942,2896.6603,971.5510,-5462.0952,3300.7109,6201.4257,3290.4275,6848.5270,-4521.3242,-5127.0047,-5058.3290,-4321.5121,-4262.0412,-4351.6045,4108.4992,5105.5683,1384.3672,-3483.9790,-3755.5503,2499.4457,5243.3347,382.2422,803.9593,5460.2456,-5280.5498,1966.3274,3434.2217,-5339.4455,3181.6106,-4637.1567,-1958.9642,2296.5154,1912.4581,-4391.2615,3932.3832,-1494.8127,-3436.5429,-4197.7292,2202.0471,-3800.1436,-4494.4289,-1633.3432,-749.5349,-41028.5921,-44078.5607,-45264.8062,-36751.5890,-39643.8018,-50292.8204,-49307.3155,-43755.3443,78575589.2312,78571138.1375,78557180.3170,78553021.4056,-43221.5555,78563780.6425,
600.000,-3227.2504,3438.1584,611.1812,5068.5957,-5072.6095,3632.7507,-427.4094,-4701.5561,-6383.2488,2408.6359,-4557.6941,5221.5228,-5109.3405,4324.5323,-4273.0326,-1101.8376,6367.3896,-6751.4072,-5042.3937,4864.7423,2289.4621,4413.7120,6251.5961,1711.5236,304.4384,-5398.1549,5555.5453,-2094.3999,-4877.9798,-3093.8835,4414.9967,4486.9908,-6537.9795,-857.2052,728.8802,-3941.4039,4805.5218,5440.5483,-386.5819,929.7908,-4434.6430,4150.9963,77.5530,-171.7147,-3040.9041,6179.5884,5013.0513,2162.7262,2663.9811,-1871.3759,-1033.8863,2720.6599,6379.0597,4246.3861,-5181.8661,-4270.5229,733.3628,-5875.1826,563.1322,-211.2929,-2651.3271,-6482.2949,-784.7604,-4495.4705,2758.6216,5080.0682,-4126.4776,5005.1353,3596.3396,-4065.6171,-323.9757,1239.5178,-3846.2193,2365.1800,6370.6819,4726.3636,-2391.9993,-2994.1264,-3813.4669,-300.0908,-2468.0126,4618.3562,2988.8684,-4871.9869,4717.5472,5628.3355,-384.6237,-3289.8653,2764.8394,-6748.4845,5681.7712,-1978.8926,5619.2176,5107.0713,1260.8634,-6715.0980,4763.4640,-3807.0567,3051.2118,-6064.5419,304049.0673,332628.0735,320089.6643,313974.1498,321681.1801,317912.0402,320795.6671,319558.3027,-239482051.1893,-239490361.0220,-239487773.3731,-239477266.5397,318059.5380,-239475894.1578,4364.6979,3744.2459,5206.1601,-382.4416,-3717.5865,5889.4660,5648.4916,3321.8996,1896.4257,3345.3895,4586.6991,-886.6540,1243.1619,3676.5523,-2744.5243,2947.8478,1850.6036,1171.3887,-4758.7950,2339.9242,-3986.9012,-3374.1865,1466.2887,4700.5014,1334.4721,-4023.7339,-4183.9599,-4889.1434,-1551.1773,5630.5007,3988.1239,-4604.9159,-878.4584,6190.8446,-6614.7800,1335.8759,-1197.0236,2663.1202,-4429.3029,-4043.5508,3049.1940,-151.8003,-6488.8902,4703.7565,-5968.2342,-3097.3169,-4585.6672,-5672.9152,6275.0935,-4118.9093,5667.5473,4635.5372,2620.3111,4994.1933,-2578.9317,-58.3223,-3367.2570,-3501.2343,-5672.5646,6878.1543,5014.0236,-579.9029,-2244.1524,-2654.3614,905.5801,40.2161,-371.7228,2570.5440,-2832.3905,-3095.7959,6237.5680,4878.2076,-3665.5951,-5766.7327,917.4316,4350.2208,5235.5366,2891.4816,-5356.2363,6443.3154,3480.0311,-2608.1752,5157.5439,-1627.3622,-2194.8581,-3731.3304,-5931.1902,5088.9531,-5214.9862,1553.3138,1841.0311,4823.8103,-4038.8592,-373.8672,-5991.4869,-1638.2610,-2280.9063,-2319.6334,-5188.9598,2257.0565,242418.7193,245251.0043,239446.6129,241746.3325,239159.6496,240490.0122,248506.4595,245299.0830,6944449.3017,6929288.8633,6937605.7330,6937225.8649,244889.3488,6929010.6060,-4140.3793,4711.4871,4409.3523,-4367.7421,-2932.7071,73.2240,3984.6907,-3870.7171,1675.7288,5469.8708,-2321.8626,4471.0248,-4531.9871,-3997.5319,4716.5904,-6196.2565,200.3675,-970.9363,228.1023,-4334.9056,-5054.1806,-3961.4949,2425.8235,-4638.1536,-6813.4625,1620.8442,43.7104,-4458.6310,-4688.3311,2592.9048,3558.0869,2583.2310,2141.3740,-2973.7527,-2031.8979,-5546.3718,-4569.7459,3373.0587,5301.9979,5275.9445,-4411.4390,-5537.5230,2442.5673,5076.4187,1805.4582,484.0990,-685.8391,3374.6573,454.6926,-5254.0180,-3885.3992,4188.4106,-581.3876,-1822.5959,3797.8490,-5462.2949,-6042.2460,-1171.9640,3946.1579,-839.5095,-4022.4530,2033.9407,6523.1859,4550.1681,6299.0431,-4731.0164,-5509.8402,-4053.7302,-5213.1440,-4697.3419,-3013.9519,4594.8800,4206.7339,2772.2896,-2270.9479,-2628.4277,3653.5056,5530.4289,2149.0877,2532.2318,5449.4099,-4461.0007,3530.5363,4651.1749,-4570.6371,1549.3762,-3420.9242,-3242.2201,3503.8281,132.7097,-3087.3105,4567.3678,306.0538,-4657.2514,-3270.8055,444.3339,-4506.1381,-5303.1971,-3259.6509,-2480.0902,-41200.1405,-44223.2137,-45351.8704,-36988.1906,-39613.3137,-50265.1792,-49631.3149,-44321.1794,78577563.2616,78573583.3768,78559587.3477,78554985.9025,-43355.8016,78565683.9430,
