sl_100_5400_20240609 Coordinates.csv
2024/06/09 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:28 2024,
Start: 2024/06/09 07:47:00.00, Stop: 2024/06/09 09:17:00.00,
TIME_UNITS,STARLINK-31360 - X-Coordinate,STARLINK-3107 - X-Coordinate,STARLINK-3451 - X-Coordinate,STARLINK-1489 - X-Coordinate,STARLINK-5682 - X-Coordinate,STARLINK-4618 - X-Coordinate,STARLINK-3055 - X-Coordinate,STARLINK-2335 - X-Coordinate,STARLINK-1820 - X-Coordinate,STARLINK-30151 - X-Coordinate,STARLINK-6307 - X-Coordinate,STARLINK-3783 - X-Coordinate,STARLINK-31659 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-5779 - X-Coordinate,STARLINK-3954 - X-Coordinate,STARLINK-11161 [DTC] - X-Coordinate,STARLINK-30981 - X-Coordinate,STARLINK-4663 - X-Coordinate,STARLINK-6282 - X-Coordinate,STARLINK-4285 - X-Coordinate,STARLINK-2135 - X-Coordinate,STARLINK-1227 - X-Coordinate,STARLINK-31845 - X-Coordinate,STARLINK-4156 - X-Coordinate,STARLINK-5106 - X-Coordinate,STARLINK-31625 - X-Coordinate,STARLINK-30489 - X-Coordinate,STARLINK-2453 - X-Coordinate,STARLINK-5448 - X-Coordinate,STARLINK-31588 - X-Coordinate,STARLINK-11103 [DTC] - X-Coordinate,STARLINK-30305 - X-Coordinate,STARLINK-30141 - X-Coordinate,STARLINK-3048 - X-Coordinate,STARLINK-11181 [DTC] - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-3851 - X-Coordinate,STARLINK-2661 - X-Coordinate,STARLINK-1306 - X-Coordinate,STARLINK-31273 - X-Coordinate,STARLINK-2214 - X-Coordinate,STARLINK-1800 - X-Coordinate,STARLINK-4068 - X-Coordinate,STARLINK-2017 - X-Coordinate,STARLINK-2153 - X-Coordinate,STARLINK-4271 - X-Coordinate,STARLINK-30572 - X-Coordinate,STARLINK-4776 - X-Coordinate,STARLINK-31149 - X-Coordinate,STARLINK-30344 - X-Coordinate,STARLINK-31799 - X-Coordinate,STARLINK-4133 - X-Coordinate,STARLINK-1833 - X-Coordinate,STARLINK-32137 - X-Coordinate,STARLINK-2642 - X-Coordinate,STARLINK-30117 - X-Coordinate,STARLINK-32076 - X-Coordinate,STARLINK-30852 - X-Coordinate,STARLINK-3460 - X-Coordinate,STARLINK-31521 - X-Coordinate,STARLINK-2591 - X-Coordinate,STARLINK-32267 - X-Coordinate,STARLINK-5176 - X-Coordinate,STARLINK-11201 [DTC] - X-Coordinate,STARLINK-1293 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-4587 - X-Coordinate,STARLINK-2027 - X-Coordinate,STARLINK-31955 - X-Coordinate,STARLINK-30553 - X-Coordinate,STARLINK-5263 - X-Coordinate,STARLINK-3697 - X-Coordinate,STARLINK-2283 - X-Coordinate,STARLINK-30570 - X-Coordinate,STARLINK-3672 - X-Coordinate,STARLINK-30245 - X-Coordinate,STARLINK-5609 - X-Coordinate,STARLINK-30338 - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-4092 - X-Coordinate,STARLINK-30056 - X-Coordinate,STARLINK-3315 - X-Coordinate,STARLINK-3867 - X-Coordinate,STARLINK-6201 - X-Coordinate,STARLINK-5564 - X-Coordinate,STARLINK-1207 - X-Coordinate,STARLINK-6230 - X-Coordinate,STARLINK-4685 - X-Coordinate,STARLINK-31355 - X-Coordinate,STARLINK-3761 - X-Coordinate,STARLINK-2141 - X-Coordinate,STARLINK-2657 - X-Coordinate,STARLINK-32179 - X-Coordinate,STARLINK-31812 - X-Coordinate,STARLINK-30157 - X-Coordinate,STARLINK-3281 - X-Coordinate,STARLINK-6303 - X-Coordinate,STARLINK-1910 - X-Coordinate,STARLINK-4366 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31360 - Y-Coordinate,STARLINK-3107 - Y-Coordinate,STARLINK-3451 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,STARLINK-5682 - Y-Coordinate,STARLINK-4618 - Y-Coordinate,STARLINK-3055 - Y-Coordinate,STARLINK-2335 - Y-Coordinate,STARLINK-1820 - Y-Coordinate,STARLINK-30151 - Y-Coordinate,STARLINK-6307 - Y-Coordinate,STARLINK-3783 - Y-Coordinate,STARLINK-31659 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-5779 - Y-Coordinate,STARLINK-3954 - Y-Coordinate,STARLINK-11161 [DTC] - Y-Coordinate,STARLINK-30981 - Y-Coordinate,STARLINK-4663 - Y-Coordinate,STARLINK-6282 - Y-Coordinate,STARLINK-4285 - Y-Coordinate,STARLINK-2135 - Y-Coordinate,STARLINK-1227 - Y-Coordinate,STARLINK-31845 - Y-Coordinate,STARLINK-4156 - Y-Coordinate,STARLINK-5106 - Y-Coordinate,STARLINK-31625 - Y-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-2453 - Y-Coordinate,STARLINK-5448 - Y-Coordinate,STARLINK-31588 - Y-Coordinate,STARLINK-11103 [DTC] - Y-Coordinate,STARLINK-30305 - Y-Coordinate,STARLINK-30141 - Y-Coordinate,STARLINK-3048 - Y-Coordinate,STARLINK-11181 [DTC] - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-3851 - Y-Coordinate,STARLINK-2661 - Y-Coordinate,STARLINK-1306 - Y-Coordinate,STARLINK-31273 - Y-Coordinate,STARLINK-2214 - Y-Coordinate,STARLINK-1800 - Y-Coordinate,STARLINK-4068 - Y-Coordinate,STARLINK-2017 - Y-Coordinate,STARLINK-2153 - Y-Coordinate,STARLINK-4271 - Y-Coordinate,STARLINK-30572 - Y-Coordinate,STARLINK-4776 - Y-Coordinate,STARLINK-31149 - Y-Coordinate,STARLINK-30344 - Y-Coordinate,STARLINK-31799 - Y-Coordinate,STARLINK-4133 - Y-Coordinate,STARLINK-1833 - Y-Coordinate,STARLINK-32137 - Y-Coordinate,STARLINK-2642 - Y-Coordinate,STARLINK-30117 - Y-Coordinate,STARLINK-32076 - Y-Coordinate,STARLINK-30852 - Y-Coordinate,STARLINK-3460 - Y-Coordinate,STARLINK-31521 - Y-Coordinate,STARLINK-2591 - Y-Coordinate,STARLINK-32267 - Y-Coordinate,STARLINK-5176 - Y-Coordinate,STARLINK-11201 [DTC] - Y-Coordinate,STARLINK-1293 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-4587 - Y-Coordinate,STARLINK-2027 - Y-Coordinate,STARLINK-31955 - Y-Coordinate,STARLINK-30553 - Y-Coordinate,STARLINK-5263 - Y-Coordinate,STARLINK-3697 - Y-Coordinate,STARLINK-2283 - Y-Coordinate,STARLINK-30570 - Y-Coordinate,STARLINK-3672 - Y-Coordinate,STARLINK-30245 - Y-Coordinate,STARLINK-5609 - Y-Coordinate,STARLINK-30338 - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-4092 - Y-Coordinate,STARLINK-30056 - Y-Coordinate,STARLINK-3315 - Y-Coordinate,STARLINK-3867 - Y-Coordinate,STARLINK-6201 - Y-Coordinate,STARLINK-5564 - Y-Coordinate,STARLINK-1207 - Y-Coordinate,STARLINK-6230 - Y-Coordinate,STARLINK-4685 - Y-Coordinate,STARLINK-31355 - Y-Coordinate,STARLINK-3761 - Y-Coordinate,STARLINK-2141 - Y-Coordinate,STARLINK-2657 - Y-Coordinate,STARLINK-32179 - Y-Coordinate,STARLINK-31812 - Y-Coordinate,STARLINK-30157 - Y-Coordinate,STARLINK-3281 - Y-Coordinate,STARLINK-6303 - Y-Coordinate,STARLINK-1910 - Y-Coordinate,STARLINK-4366 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31360 - Z-Coordinate,STARLINK-3107 - Z-Coordinate,STARLINK-3451 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,STARLINK-5682 - Z-Coordinate,STARLINK-4618 - Z-Coordinate,STARLINK-3055 - Z-Coordinate,STARLINK-2335 - Z-Coordinate,STARLINK-1820 - Z-Coordinate,STARLINK-30151 - Z-Coordinate,STARLINK-6307 - Z-Coordinate,STARLINK-3783 - Z-Coordinate,STARLINK-31659 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-5779 - Z-Coordinate,STARLINK-3954 - Z-Coordinate,STARLINK-11161 [DTC] - Z-Coordinate,STARLINK-30981 - Z-Coordinate,STARLINK-4663 - Z-Coordinate,STARLINK-6282 - Z-Coordinate,STARLINK-4285 - Z-Coordinate,STARLINK-2135 - Z-Coordinate,STARLINK-1227 - Z-Coordinate,STARLINK-31845 - Z-Coordinate,STARLINK-4156 - Z-Coordinate,STARLINK-5106 - Z-Coordinate,STARLINK-31625 - Z-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-2453 - Z-Coordinate,STARLINK-5448 - Z-Coordinate,STARLINK-31588 - Z-Coordinate,STARLINK-11103 [DTC] - Z-Coordinate,STARLINK-30305 - Z-Coordinate,STARLINK-30141 - Z-Coordinate,STARLINK-3048 - Z-Coordinate,STARLINK-11181 [DTC] - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-3851 - Z-Coordinate,STARLINK-2661 - Z-Coordinate,STARLINK-1306 - Z-Coordinate,STARLINK-31273 - Z-Coordinate,STARLINK-2214 - Z-Coordinate,STARLINK-1800 - Z-Coordinate,STARLINK-4068 - Z-Coordinate,STARLINK-2017 - Z-Coordinate,STARLINK-2153 - Z-Coordinate,STARLINK-4271 - Z-Coordinate,STARLINK-30572 - Z-Coordinate,STARLINK-4776 - Z-Coordinate,STARLINK-31149 - Z-Coordinate,STARLINK-30344 - Z-Coordinate,STARLINK-31799 - Z-Coordinate,STARLINK-4133 - Z-Coordinate,STARLINK-1833 - Z-Coordinate,STARLINK-32137 - Z-Coordinate,STARLINK-2642 - Z-Coordinate,STARLINK-30117 - Z-Coordinate,STARLINK-32076 - Z-Coordinate,STARLINK-30852 - Z-Coordinate,STARLINK-3460 - Z-Coordinate,STARLINK-31521 - Z-Coordinate,STARLINK-2591 - Z-Coordinate,STARLINK-32267 - Z-Coordinate,STARLINK-5176 - Z-Coordinate,STARLINK-11201 [DTC] - Z-Coordinate,STARLINK-1293 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-4587 - Z-Coordinate,STARLINK-2027 - Z-Coordinate,STARLINK-31955 - Z-Coordinate,STARLINK-30553 - Z-Coordinate,STARLINK-5263 - Z-Coordinate,STARLINK-3697 - Z-Coordinate,STARLINK-2283 - Z-Coordinate,STARLINK-30570 - Z-Coordinate,STARLINK-3672 - Z-Coordinate,STARLINK-30245 - Z-Coordinate,STARLINK-5609 - Z-Coordinate,STARLINK-30338 - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-4092 - Z-Coordinate,STARLINK-30056 - Z-Coordinate,STARLINK-3315 - Z-Coordinate,STARLINK-3867 - Z-Coordinate,STARLINK-6201 - Z-Coordinate,STARLINK-5564 - Z-Coordinate,STARLINK-1207 - Z-Coordinate,STARLINK-6230 - Z-Coordinate,STARLINK-4685 - Z-Coordinate,STARLINK-31355 - Z-Coordinate,STARLINK-3761 - Z-Coordinate,STARLINK-2141 - Z-Coordinate,STARLINK-2657 - Z-Coordinate,STARLINK-32179 - Z-Coordinate,STARLINK-31812 - Z-Coordinate,STARLINK-30157 - Z-Coordinate,STARLINK-3281 - Z-Coordinate,STARLINK-6303 - Z-Coordinate,STARLINK-1910 - Z-Coordinate,STARLINK-4366 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6237.8109,2254.2443,2592.9075,4744.3999,-1182.9452,-4840.6608,-3308.2036,-2886.1370,-5277.4799,6182.7775,-1612.4667,-4527.1475,-416.9020,6306.9755,-5184.2030,-4100.6450,-2470.0888,4508.0635,1339.2774,5995.8196,4379.1210,2317.4304,5338.2133,3027.1813,4427.8170,1069.4031,-3919.5266,2310.4187,2733.6534,5868.2400,4297.4067,2916.1139,4014.4417,-5359.6780,3277.4951,2446.3456,4819.9440,-4447.3678,-4756.8758,-2798.1242,1230.9639,-2044.1481,-5323.8287,3059.5865,6881.6326,3790.6496,-3925.2271,2591.3011,-3935.2874,-5610.2622,4135.7297,-5774.6524,819.1767,5242.4979,5663.0556,6650.5931,-4244.7367,-4003.7560,-5569.4951,-1128.6582,1254.3745,5641.0472,2703.1872,3878.8210,-424.4942,-1157.6393,3196.4421,2683.2631,6482.8316,-903.6481,-283.2407,3780.8952,1456.1979,-4051.3886,-2395.0269,5845.0512,322.2079,-330.7073,329.4094,2157.4307,2039.9708,-5475.4483,-6332.3325,-3559.1690,-2133.9413,-307.4939,746.8637,1515.7500,-5943.3321,-3609.9163,-3603.4704,-6899.3427,428.4405,3526.8566,-5342.8056,-5880.1642,-5107.7752,-3000.6427,-3817.1005,3915.8341,61856.4455,68272.0193,69638.2930,65268.7344,70246.6319,67911.5747,74874.7065,69084.0523,-261347243.7800,-261294481.7662,-261330106.3565,-261338395.9185,70432.0771,-261334704.6087,-2337.9164,-2522.6646,6408.1540,-2128.2937,-4995.9898,4648.1746,4916.5592,6273.1206,4350.8625,2678.8990,6280.3297,1304.2696,-6348.7630,291.3333,861.1107,1215.3176,3771.2730,4029.0888,-5508.7435,-3331.3817,-2109.6919,-3994.0291,3896.7534,-3242.8887,1075.9536,5171.9046,5578.1354,4603.1578,-5564.9548,-2198.8035,2751.7436,-5228.2926,3101.2308,-258.6750,-5182.9069,-5972.5273,4555.9452,2691.1072,2089.7901,-5602.6631,6670.1509,4575.9249,846.6662,6202.7370,412.2971,-1794.8761,-1383.4389,3363.1216,-2722.3445,564.0804,3320.4498,1561.0613,4345.8279,3393.2858,-1978.5734,699.7836,-5487.1125,-4598.7016,-1764.5226,6145.0902,-3995.1877,-434.7221,-5089.2112,-1865.8111,-6302.4917,-6714.5937,-6005.0542,-4333.0994,-2220.7287,4930.0105,-6337.7080,5121.1352,4113.1698,5604.8149,5150.7935,-2351.0594,-6342.1015,-5375.7327,-5248.8950,-6437.2527,-4076.6558,-1606.9626,-2304.4332,-3530.3061,1539.3651,5066.3167,6242.2946,-6619.2081,2580.8671,-3102.0026,-2539.0271,-217.1437,6909.4652,-3261.4126,4017.9745,-1301.5389,-258.1003,6092.4955,-5345.4580,-1179.5036,356583.1977,340630.9377,336026.3723,341248.0205,335062.4098,338357.6273,343187.6153,342335.8982,62707349.7220,62665473.3840,62696176.5137,62702263.2781,341735.2379,62691902.4737,-1603.6712,6061.8676,-328.7346,4537.7486,4657.7904,1680.0268,-3641.5126,-683.4287,-1096.0743,-1661.2954,2455.9671,-5076.1364,2466.8402,-2862.1808,4521.2476,-5454.5242,-5019.1227,-3408.2213,3956.8241,1042.7032,4914.6120,-5169.0110,2063.3625,5175.5239,5196.7411,4489.7292,252.0282,-4652.5043,3093.0386,-2943.5241,-4533.2004,3087.1303,4726.7327,4387.2998,3267.2983,1983.4818,-1745.4532,-4573.1356,-4592.9054,2952.0055,892.4874,-4794.3110,4354.0303,194.8440,-700.2025,-5519.8140,-5534.9979,-5391.6379,4996.1737,3914.6136,4464.9067,-3285.9728,-5327.8612,-3036.7612,3248.2091,1809.3890,123.1871,3055.6972,3734.0913,2955.8911,5418.1054,-4005.8233,-3666.4676,-5423.3339,2396.8907,1229.4524,-1382.7304,4669.5664,-1035.3106,4669.5817,2797.8421,2702.3460,5368.4818,457.7076,3975.5799,-2884.8858,-2798.5424,4367.4264,-4529.6880,-678.3460,-5215.9109,3934.7267,-1578.5616,-4775.4891,6426.1096,4720.9768,-2920.6536,1409.7950,2416.7371,-4925.7149,-5339.6164,612.7155,557.4002,-4816.4193,1346.9805,3436.1628,4649.8105,1408.1176,2235.7574,5601.4299,176614.1750,171690.3987,169899.7766,178659.1534,175347.5763,164730.7843,166211.9321,172990.7870,49599849.4694,49592805.0139,49575351.4152,49588934.7540,172022.9435,49595209.1816,
300.000,5095.2902,1989.0349,3544.2727,3017.7346,-3224.0839,-4057.9697,-3118.4700,-1572.9072,-4022.7241,6180.5316,160.4154,-4558.6402,-1680.7588,6753.3460,-4997.5422,-3742.7701,-1151.8273,5028.3335,-423.6442,5174.6118,4156.8466,182.4422,6238.3925,1902.1033,5369.6877,3088.9721,-2452.9719,4187.5682,1027.8579,4438.2312,5482.5893,1147.7478,5153.3977,-4752.7722,3026.3525,1334.8347,5754.3079,-2604.2029,-3046.2797,-4180.2897,2403.9710,-717.0159,-5706.9291,3957.5637,6436.3500,2897.7387,-4606.0401,3874.0824,-4148.6799,-5738.0953,5543.0361,-4453.5533,2849.5614,5130.8023,5659.0486,5998.7133,-5234.7532,-5324.0396,-6427.9228,111.6445,-709.2114,4386.8300,848.4808,2393.6106,-1746.2590,-2353.6237,1552.2759,622.8817,5518.0615,1241.6430,-1910.3557,5044.2594,3482.2072,-2949.1111,-838.5214,4407.0700,-1304.5500,-2323.2717,-1695.0208,663.7225,-107.7047,-5193.8242,-6068.4711,-4023.8434,-1639.9536,1834.7109,2119.1011,-120.9140,-5694.1512,-5246.6667,-4136.2132,-6755.8389,1601.6371,1497.3496,-4387.0991,-6567.1942,-5840.6720,-1345.5051,-4359.5678,2171.4445,54254.3858,61013.8488,62307.0975,58103.6156,63081.3852,60698.8826,67616.0255,62138.4281,-262650917.6944,-262597564.0505,-262634067.8299,-262642601.3158,63239.9214,-262638354.6036,-3250.8352,-4427.1913,5563.3939,-3214.4852,-4521.4719,5604.5575,5975.7129,6312.2123,4903.4616,988.9181,5905.3614,3240.3966,-5312.5773,-1017.1902,2896.7645,3267.4317,5260.7187,2131.0465,-4756.9829,-4596.8072,-3985.6794,-4169.9557,2994.5615,-4922.4374,-674.1610,4927.4049,6112.5982,3688.9515,-5242.6243,-3119.7976,1031.3919,-4973.4247,1291.2353,1783.5024,-6126.3995,-6618.8458,3727.1945,3555.5580,3198.1126,-5370.9577,6339.0295,5857.2080,2523.3541,5317.5388,-827.4238,-3725.8106,641.9237,1594.8300,-614.1543,2455.4582,1863.2617,3033.4572,4375.1986,1679.4007,-3453.2112,-638.7212,-4333.3613,-4033.4859,-142.7497,6793.5558,-4782.3120,-1889.2661,-4788.7107,-3452.0218,-6498.2889,-6487.8801,-6175.7077,-4293.7623,-3181.7855,5107.8511,-5419.9687,4628.8422,3752.0995,6127.9897,6225.2917,-3240.2138,-6665.1170,-5485.8225,-5521.9229,-6732.0060,-4150.2658,435.0675,-884.8491,-1508.3378,3577.4469,4911.5316,6479.9838,-6346.5895,3870.3456,-2107.6137,-439.9320,989.6290,6350.4874,-3878.8805,5219.0640,331.8204,1392.7209,6204.7659,-3878.1919,-78.5947,357841.4022,342588.4270,337478.0624,342736.2217,336456.9338,339722.3170,344658.5326,343520.0734,56986294.8699,56945366.3720,56975649.6259,56981169.5918,343180.5328,56970941.6902,-3235.0770,4966.6064,-2099.7498,5307.9499,4150.7356,-117.7837,-1707.4655,-2419.2617,-2789.2672,-2999.7438,3627.0557,-4083.7464,3934.9831,-1179.5426,3835.4736,-4833.0072,-4062.8817,-4283.6214,4995.8882,-499.6115,3826.2631,-5534.0638,294.4405,4317.3699,4301.2810,3774.5536,1771.5331,-4125.8829,4408.3316,-4303.4572,-3932.3940,4391.3218,4456.4538,4718.9309,1278.8026,185.5323,55.5424,-5340.3363,-5346.9063,1282.2513,-932.6391,-3643.2466,3018.5982,1975.1526,-2435.3939,-5077.5115,-5131.3167,-5435.4363,5500.4021,2860.7315,3726.5168,-4189.0275,-4547.3637,-4369.2188,1618.8970,3400.5861,-1407.1978,1391.8351,2600.2080,1281.5207,4850.7265,-5025.4769,-4796.8537,-5504.3420,637.1312,-579.4208,-2766.4320,5379.1086,-2735.2776,4394.3796,3876.8513,992.9920,4655.2139,-1347.5516,2939.0811,-4255.5428,-1420.2138,3551.0008,-3847.7385,879.2261,-5545.7638,4568.2842,-3211.3801,-5429.3058,5723.1514,4535.3246,-1246.4344,2789.6379,674.3768,-3865.3389,-5535.9231,-1195.9913,2303.6472,-5384.2347,-198.9446,2205.8639,3427.9483,2788.1172,3749.8166,6584.1726,176572.3972,171746.4555,169893.8345,178518.4068,175472.2504,164839.4069,165967.9580,173308.6391,49604052.2923,49596566.5416,49579466.9553,49593257.5039,171977.2808,49599170.7770,
600.000,3426.4395,1587.4402,4166.3907,1008.5273,-4952.5321,-2870.9257,-2632.9505,-81.4102,-2353.8187,5600.3661,1944.7048,-4182.0402,-2814.5372,6535.5123,-4363.2802,-3070.4616,245.7729,5104.5555,-2183.5960,3850.2250,3562.8508,-1971.8105,6518.9313,627.5798,5811.2383,4800.9664,-722.5213,5668.5877,-811.9146,2570.1756,6134.9273,-775.4510,5827.3061,-3727.4078,2483.4749,82.5736,6100.4453,-515.4504,-1056.0526,-5138.0592,3340.0020,642.3791,-5550.7790,4482.3182,5359.4773,1774.4510,-4883.6881,4813.9209,-4013.2098,-5315.2697,6429.1404,-2695.7755,4583.5597,4556.7853,5080.5788,4765.5549,-5729.5411,-6083.9966,-6674.6896,1326.3711,-2570.0212,2728.2519,-1123.2430,716.7787,-2874.2132,-3322.5410,-261.3677,-1513.8918,4002.4949,3252.9841,-3385.8925,5799.0346,5159.4830,-1542.9911,772.9109,2533.8495,-2792.7135,-4075.5064,-3539.0235,-906.1555,-2248.3189,-4449.5921,-5221.7996,-4152.3092,-1054.7167,3798.4616,3269.1932,-1769.8512,-4883.2119,-6353.1040,-4321.7532,-5944.4327,2643.4009,-680.4969,-2982.3437,-6627.2642,-6016.7446,460.3926,-4512.6534,150.9339,46627.4728,53780.7449,54947.2024,50908.3520,55888.6341,53460.7351,60324.2589,55262.6340,-263829365.4674,-263775443.5149,-263812825.4532,-263821571.4623,56018.0613,-263816782.2543,-3868.1928,-5879.2443,4158.9184,-4036.9866,-3649.6199,6004.6254,6419.7633,5743.9108,4998.0220,-818.5621,4980.9496,4838.9563,-3737.0242,-2212.3861,4642.9590,4995.3236,6203.8467,20.6627,-3573.3256,-5421.5878,-5452.9536,-3997.7669,1798.7065,-6105.5982,-2321.8402,4241.4652,6034.5256,2457.9642,-4440.1123,-3780.7695,-763.4197,-4223.7252,-615.9893,3672.0984,-6440.9868,-6555.8093,2516.5794,4127.8732,4048.8864,-4617.4642,5353.0908,6575.8498,3926.8365,3894.1278,-2012.4807,-5305.8141,2578.0101,-298.9747,1557.8403,4084.6771,258.5449,4235.9601,4021.0418,-226.7955,-4555.6500,-1950.4102,-2752.5743,-3063.8280,1469.9912,6767.3904,-5127.2355,-3207.3225,-4041.2219,-4740.3418,-6001.9168,-5616.2910,-5768.5062,-3886.9900,-3858.9029,4815.2693,-3994.5612,3685.1541,3071.7690,6054.3330,6708.2719,-3857.6472,-6349.1485,-5095.9424,-5295.2611,-6342.2227,-3877.0720,2453.3630,653.5023,661.0875,5262.3606,4325.4796,6083.0147,-5471.6632,4768.6703,-941.2833,1690.2159,2112.0247,5167.7441,-4153.6204,5888.9268,1913.5992,2874.5224,5733.7812,-2014.9194,948.2566,358936.3290,344413.0848,338780.5038,344074.4062,337704.9655,340935.8717,345974.3566,344538.8457,51238201.9503,51198234.9042,51228071.4032,51232999.3571,344474.5114,51222943.3975,-4508.7131,3343.7343,-3645.0209,5503.7723,3200.1248,-1902.9414,407.7428,-3897.0356,-4183.4888,-4018.3573,4410.1883,-2653.4790,4961.7686,629.5079,2739.8233,-3695.0711,-2635.7158,-4702.8463,5496.6910,-1988.5804,2325.5712,-5308.4541,-1506.1407,2974.5075,2942.3017,2655.8724,3091.8842,-3159.7047,5251.3548,-5201.9627,-2891.2565,5183.8433,3710.3795,4546.1841,-845.5678,-1633.9306,1850.3542,-5535.5489,-5530.9365,-525.2625,-2653.9716,-2103.0044,1360.0519,3542.5030,-3909.7771,-4093.1264,-4178.1278,-4881.5503,5413.8366,1491.7537,2589.9279,-4623.1147,-3279.2699,-5237.3307,-192.1321,4626.8664,-2787.3513,-428.3724,1188.3408,-531.2148,3746.2738,-5508.7260,-5391.9946,-4995.9429,-1196.2724,-2326.0778,-3855.3652,5509.2748,-4142.4871,3632.8862,4541.3037,-823.4256,3441.8413,-3008.5392,1588.4114,-5171.0158,109.8185,2355.2705,-2755.7821,2337.9584,-5282.6935,4713.4173,-4499.1958,-5501.6911,4413.2273,3865.1107,561.3628,3871.0723,-1140.7075,-2376.5738,-5139.5535,-2876.5917,3804.3320,-5344.3729,-1722.5182,739.7062,1836.5035,3869.9372,4863.4957,6866.0080,176530.1544,171810.4729,169891.7537,178372.5582,175593.2775,164953.3761,165729.9686,173519.6149,49608252.7174,49600327.9682,49583590.8574,49597591.5721,171931.5128,49603132.1819,
