sl_100_5400_20240531 Coordinates.csv
2024/05/31 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:31 2024,
Start: 2024/05/31 07:47:00.00, Stop: 2024/05/31 09:17:00.00,
TIME_UNITS,STARLINK-2426 - X-Coordinate,STARLINK-3814 - X-Coordinate,STARLINK-2111 - X-Coordinate,STARLINK-2589 - X-Coordinate,STARLINK-11090 [DTC] - X-Coordinate,STARLINK-31603 - X-Coordinate,STARLINK-30247 - X-Coordinate,STARLINK-3309 - X-Coordinate,STARLINK-4401 - X-Coordinate,STARLINK-4081 - X-Coordinate,STARLINK-3312 - X-Coordinate,STARLINK-31885 - X-Coordinate,STARLINK-31905 - X-Coordinate,STARLINK-6087 - X-Coordinate,STARLINK-30170 - X-Coordinate,STARLINK-32041 - X-Coordinate,STARLINK-4019 - X-Coordinate,STARLINK-31116 - X-Coordinate,STARLINK-4076 - X-Coordinate,STARLINK-4319 - X-Coordinate,STARLINK-32277 - X-Coordinate,STARLINK-4603 - X-Coordinate,STARLINK-1741 - X-Coordinate,STARLINK-3889 - X-Coordinate,STARLINK-4369 - X-Coordinate,STARLINK-6126 - X-Coordinate,STARLINK-31646 - X-Coordinate,STARLINK-30929 - X-Coordinate,STARLINK-5804 - X-Coordinate,STARLINK-31577 - X-Coordinate,STARLINK-3859 - X-Coordinate,STARLINK-1860 - X-Coordinate,STARLINK-31406 - X-Coordinate,STARLINK-4018 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-2389 - X-Coordinate,STARLINK-4427 - X-Coordinate,STARLINK-30326 - X-Coordinate,STARLINK-5383 - X-Coordinate,STARLINK-4517 - X-Coordinate,STARLINK-4301 - X-Coordinate,STARLINK-1695 - X-Coordinate,STARLINK-1230 - X-Coordinate,STARLINK-30284 - X-Coordinate,STARLINK-31663 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-5454 - X-Coordinate,STARLINK-2032 - X-Coordinate,STARLINK-3319 - X-Coordinate,STARLINK-31035 - X-Coordinate,STARLINK-5506 - X-Coordinate,STARLINK-31235 - X-Coordinate,STARLINK-31405 - X-Coordinate,STARLINK-11140 [DTC] - X-Coordinate,STARLINK-31188 - X-Coordinate,STARLINK-32223 - X-Coordinate,STARLINK-1708 - X-Coordinate,STARLINK-31644 - X-Coordinate,STARLINK-2096 - X-Coordinate,STARLINK-5360 - X-Coordinate,STARLINK-3756 - X-Coordinate,STARLINK-30889 - X-Coordinate,STARLINK-30169 - X-Coordinate,STARLINK-5423 - X-Coordinate,STARLINK-1502 - X-Coordinate,STARLINK-4406 - X-Coordinate,STARLINK-4179 - X-Coordinate,STARLINK-30263 - X-Coordinate,STARLINK-31272 - X-Coordinate,STARLINK-1595 - X-Coordinate,STARLINK-30876 - X-Coordinate,STARLINK-1479 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-2454 - X-Coordinate,STARLINK-31634 - X-Coordinate,STARLINK-31489 - X-Coordinate,STARLINK-31573 - X-Coordinate,STARLINK-4439 - X-Coordinate,STARLINK-5721 - X-Coordinate,STARLINK-31174 - X-Coordinate,STARLINK-31241 - X-Coordinate,STARLINK-1557 - X-Coordinate,STARLINK-1808 - X-Coordinate,STARLINK-5144 - X-Coordinate,STARLINK-1151 - X-Coordinate,STARLINK-3717 - X-Coordinate,STARLINK-3243 - X-Coordinate,STARLINK-30505 - X-Coordinate,STARLINK-32035 - X-Coordinate,STARLINK-6276 - X-Coordinate,STARLINK-30608 - X-Coordinate,STARLINK-1556 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-31742 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-32152 - X-Coordinate,STARLINK-5696 - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-4039 - X-Coordinate,STARLINK-30617 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2426 - Y-Coordinate,STARLINK-3814 - Y-Coordinate,STARLINK-2111 - Y-Coordinate,STARLINK-2589 - Y-Coordinate,STARLINK-11090 [DTC] - Y-Coordinate,STARLINK-31603 - Y-Coordinate,STARLINK-30247 - Y-Coordinate,STARLINK-3309 - Y-Coordinate,STARLINK-4401 - Y-Coordinate,STARLINK-4081 - Y-Coordinate,STARLINK-3312 - Y-Coordinate,STARLINK-31885 - Y-Coordinate,STARLINK-31905 - Y-Coordinate,STARLINK-6087 - Y-Coordinate,STARLINK-30170 - Y-Coordinate,STARLINK-32041 - Y-Coordinate,STARLINK-4019 - Y-Coordinate,STARLINK-31116 - Y-Coordinate,STARLINK-4076 - Y-Coordinate,STARLINK-4319 - Y-Coordinate,STARLINK-32277 - Y-Coordinate,STARLINK-4603 - Y-Coordinate,STARLINK-1741 - Y-Coordinate,STARLINK-3889 - Y-Coordinate,STARLINK-4369 - Y-Coordinate,STARLINK-6126 - Y-Coordinate,STARLINK-31646 - Y-Coordinate,STARLINK-30929 - Y-Coordinate,STARLINK-5804 - Y-Coordinate,STARLINK-31577 - Y-Coordinate,STARLINK-3859 - Y-Coordinate,STARLINK-1860 - Y-Coordinate,STARLINK-31406 - Y-Coordinate,STARLINK-4018 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-2389 - Y-Coordinate,STARLINK-4427 - Y-Coordinate,STARLINK-30326 - Y-Coordinate,STARLINK-5383 - Y-Coordinate,STARLINK-4517 - Y-Coordinate,STARLINK-4301 - Y-Coordinate,STARLINK-1695 - Y-Coordinate,STARLINK-1230 - Y-Coordinate,STARLINK-30284 - Y-Coordinate,STARLINK-31663 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-5454 - Y-Coordinate,STARLINK-2032 - Y-Coordinate,STARLINK-3319 - Y-Coordinate,STARLINK-31035 - Y-Coordinate,STARLINK-5506 - Y-Coordinate,STARLINK-31235 - Y-Coordinate,STARLINK-31405 - Y-Coordinate,STARLINK-11140 [DTC] - Y-Coordinate,STARLINK-31188 - Y-Coordinate,STARLINK-32223 - Y-Coordinate,STARLINK-1708 - Y-Coordinate,STARLINK-31644 - Y-Coordinate,STARLINK-2096 - Y-Coordinate,STARLINK-5360 - Y-Coordinate,STARLINK-3756 - Y-Coordinate,STARLINK-30889 - Y-Coordinate,STARLINK-30169 - Y-Coordinate,STARLINK-5423 - Y-Coordinate,STARLINK-1502 - Y-Coordinate,STARLINK-4406 - Y-Coordinate,STARLINK-4179 - Y-Coordinate,STARLINK-30263 - Y-Coordinate,STARLINK-31272 - Y-Coordinate,STARLINK-1595 - Y-Coordinate,STARLINK-30876 - Y-Coordinate,STARLINK-1479 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-2454 - Y-Coordinate,STARLINK-31634 - Y-Coordinate,STARLINK-31489 - Y-Coordinate,STARLINK-31573 - Y-Coordinate,STARLINK-4439 - Y-Coordinate,STARLINK-5721 - Y-Coordinate,STARLINK-31174 - Y-Coordinate,STARLINK-31241 - Y-Coordinate,STARLINK-1557 - Y-Coordinate,STARLINK-1808 - Y-Coordinate,STARLINK-5144 - Y-Coordinate,STARLINK-1151 - Y-Coordinate,STARLINK-3717 - Y-Coordinate,STARLINK-3243 - Y-Coordinate,STARLINK-30505 - Y-Coordinate,STARLINK-32035 - Y-Coordinate,STARLINK-6276 - Y-Coordinate,STARLINK-30608 - Y-Coordinate,STARLINK-1556 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-31742 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-32152 - Y-Coordinate,STARLINK-5696 - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-4039 - Y-Coordinate,STARLINK-30617 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2426 - Z-Coordinate,STARLINK-3814 - Z-Coordinate,STARLINK-2111 - Z-Coordinate,STARLINK-2589 - Z-Coordinate,STARLINK-11090 [DTC] - Z-Coordinate,STARLINK-31603 - Z-Coordinate,STARLINK-30247 - Z-Coordinate,STARLINK-3309 - Z-Coordinate,STARLINK-4401 - Z-Coordinate,STARLINK-4081 - Z-Coordinate,STARLINK-3312 - Z-Coordinate,STARLINK-31885 - Z-Coordinate,STARLINK-31905 - Z-Coordinate,STARLINK-6087 - Z-Coordinate,STARLINK-30170 - Z-Coordinate,STARLINK-32041 - Z-Coordinate,STARLINK-4019 - Z-Coordinate,STARLINK-31116 - Z-Coordinate,STARLINK-4076 - Z-Coordinate,STARLINK-4319 - Z-Coordinate,STARLINK-32277 - Z-Coordinate,STARLINK-4603 - Z-Coordinate,STARLINK-1741 - Z-Coordinate,STARLINK-3889 - Z-Coordinate,STARLINK-4369 - Z-Coordinate,STARLINK-6126 - Z-Coordinate,STARLINK-31646 - Z-Coordinate,STARLINK-30929 - Z-Coordinate,STARLINK-5804 - Z-Coordinate,STARLINK-31577 - Z-Coordinate,STARLINK-3859 - Z-Coordinate,STARLINK-1860 - Z-Coordinate,STARLINK-31406 - Z-Coordinate,STARLINK-4018 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-2389 - Z-Coordinate,STARLINK-4427 - Z-Coordinate,STARLINK-30326 - Z-Coordinate,STARLINK-5383 - Z-Coordinate,STARLINK-4517 - Z-Coordinate,STARLINK-4301 - Z-Coordinate,STARLINK-1695 - Z-Coordinate,STARLINK-1230 - Z-Coordinate,STARLINK-30284 - Z-Coordinate,STARLINK-31663 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-5454 - Z-Coordinate,STARLINK-2032 - Z-Coordinate,STARLINK-3319 - Z-Coordinate,STARLINK-31035 - Z-Coordinate,STARLINK-5506 - Z-Coordinate,STARLINK-31235 - Z-Coordinate,STARLINK-31405 - Z-Coordinate,STARLINK-11140 [DTC] - Z-Coordinate,STARLINK-31188 - Z-Coordinate,STARLINK-32223 - Z-Coordinate,STARLINK-1708 - Z-Coordinate,STARLINK-31644 - Z-Coordinate,STARLINK-2096 - Z-Coordinate,STARLINK-5360 - Z-Coordinate,STARLINK-3756 - Z-Coordinate,STARLINK-30889 - Z-Coordinate,STARLINK-30169 - Z-Coordinate,STARLINK-5423 - Z-Coordinate,STARLINK-1502 - Z-Coordinate,STARLINK-4406 - Z-Coordinate,STARLINK-4179 - Z-Coordinate,STARLINK-30263 - Z-Coordinate,STARLINK-31272 - Z-Coordinate,STARLINK-1595 - Z-Coordinate,STARLINK-30876 - Z-Coordinate,STARLINK-1479 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-2454 - Z-Coordinate,STARLINK-31634 - Z-Coordinate,STARLINK-31489 - Z-Coordinate,STARLINK-31573 - Z-Coordinate,STARLINK-4439 - Z-Coordinate,STARLINK-5721 - Z-Coordinate,STARLINK-31174 - Z-Coordinate,STARLINK-31241 - Z-Coordinate,STARLINK-1557 - Z-Coordinate,STARLINK-1808 - Z-Coordinate,STARLINK-5144 - Z-Coordinate,STARLINK-1151 - Z-Coordinate,STARLINK-3717 - Z-Coordinate,STARLINK-3243 - Z-Coordinate,STARLINK-30505 - Z-Coordinate,STARLINK-32035 - Z-Coordinate,STARLINK-6276 - Z-Coordinate,STARLINK-30608 - Z-Coordinate,STARLINK-1556 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-31742 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-32152 - Z-Coordinate,STARLINK-5696 - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-4039 - Z-Coordinate,STARLINK-30617 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1730.5264,1544.9161,-4218.5859,-4909.2330,-4056.5263,-1497.1802,2088.7099,1765.1394,482.0040,1098.7668,-3477.9569,4201.2757,5324.6546,-5730.5398,-599.7199,237.8393,-5181.0675,-4407.5780,2558.3148,-5162.9002,-2829.0605,-2292.1963,2470.1649,5314.7934,1799.6963,5642.1048,-3172.3616,-4978.0730,-5167.8966,-2825.8575,-4167.7834,207.3784,-6283.7623,-2705.8756,-2602.6986,692.0439,-6080.6990,1156.5508,-1828.4552,6102.1654,-4168.2102,6206.6484,-2247.0632,6620.6170,-2333.2912,5299.1352,3780.7781,-4024.4845,-6572.1617,2546.2228,1335.0383,1691.3928,-5995.9129,-5462.6705,-755.7618,1385.6120,-6901.6866,-2835.8888,-3014.2617,-5618.2633,-3379.6184,4424.2613,-2216.5940,6828.9323,5151.9798,2259.3378,706.7287,-5135.7379,4327.1438,-2502.7243,3255.1593,4132.7441,-3732.4563,-2385.7721,-1232.2719,6017.8384,-3716.3025,36.1836,-4372.4387,3561.7302,5094.6927,1498.6868,3569.5769,4820.5966,4436.2420,-3756.4522,-262.9387,2275.5396,-2063.4175,6406.8341,2888.0964,-3876.6418,-1625.7349,-4880.6732,3480.0029,-5466.6414,-4600.6913,-3445.0653,-6747.1280,-3961.7247,-357596.4537,-335998.9101,-354605.9407,-358179.3702,-354211.4246,-356016.9212,-348391.2915,-353866.2728,-265088606.0654,-265105316.2361,-265108535.4388,-265103700.1263,-353009.8248,-265102865.3223,-6360.6390,-5768.3447,1855.0300,3564.5776,-1315.6299,5191.5872,-4962.8182,6613.9876,-6793.3099,-4028.9499,-4481.2458,-2693.8493,-4185.9088,-3755.3646,-5096.1321,-6713.9809,-2811.1572,3254.6735,4035.4135,-3743.1704,5376.2049,6502.7465,3997.8851,-1293.8412,82.9225,-2166.7459,-6038.9693,-3639.2606,4036.3100,-5918.2568,2783.0175,-4875.2601,2673.6189,3526.9579,4347.4463,-6885.4516,3261.1642,4956.6241,6079.4204,2386.7895,-603.9935,543.8373,6512.9917,-28.8811,-6123.9207,441.8974,1890.4957,4721.6216,635.0246,3718.1434,-2592.0301,-6624.2768,1582.7006,3875.9511,-5105.0031,-6634.2524,474.5823,-3071.2320,-4048.6154,-552.5234,2677.1645,-3932.0343,5995.8705,758.8419,-2966.6989,-176.5083,-4546.0789,-3149.0682,4871.7831,-4814.6825,-3924.5264,624.6855,5483.9166,-3644.2269,6349.9783,845.7636,-5122.2334,-6668.0110,3964.4710,3671.2470,381.6179,5103.6278,2157.9042,-3189.1876,1365.1122,2129.0717,-5408.7140,5435.9879,3585.3356,2278.4372,-4441.5833,2162.4809,5711.7342,3392.6591,-4941.6274,2681.1500,-2160.1419,5931.9973,-1008.4031,1138.8431,-85033.2745,-109174.3001,-106012.3951,-100185.0096,-107044.4955,-103412.5494,-99723.9951,-100111.3865,76138874.8083,76136128.4908,76141486.6714,76141068.7966,-100479.0016,76130406.4252,2138.4298,3488.4893,-5180.6430,3336.0192,-5214.4837,4149.1885,-4376.2368,-1070.8156,1367.3174,5506.7937,3951.5901,4648.2775,813.2707,1175.6740,4660.7894,1227.8631,3614.8872,-4124.6077,-5013.1605,2739.2726,-3118.7071,565.4904,-5098.4343,-4245.6947,6695.7360,3398.2750,-690.7801,-2999.1988,2299.0479,1966.4813,-4778.0673,-4963.5062,-618.4035,-5308.6384,4719.5119,-361.4396,761.0721,4706.3779,2787.9377,2222.3585,-5409.6735,3022.5730,744.1677,2069.7540,-1901.5502,4420.6441,5467.7590,-3092.0316,2064.5599,-5168.4075,-6318.9818,-658.4635,2837.4271,-864.9488,4528.7810,874.8250,-360.2452,-5403.7524,-4752.6434,-4036.5787,-5424.0620,-3629.9010,2690.6459,-1079.2472,-3562.7609,-6573.0370,5158.5546,-3445.0362,-2182.7332,-4338.9892,-4708.2839,-5532.8444,1143.7590,5377.0900,2166.3910,-3099.7195,2547.4224,-1954.5307,3634.9826,-4589.1121,4582.0150,-4458.8551,-5536.1116,-3811.2190,-5155.0894,-5413.1690,-4312.9922,-3667.0726,-5495.8142,1375.2250,-4482.9074,-5348.1808,3566.4589,-3355.1335,3166.7100,-3094.3118,4713.8325,905.1231,-1167.8726,5489.7823,-38301.8921,-42894.1613,-44919.1192,-36128.1417,-39485.5673,-50093.8933,-48572.7799,-41289.4082,38718714.9832,38725562.2692,38714690.3849,38699281.0256,-42782.9900,38706784.3232,
300.000,-2746.8567,-136.6595,-3915.8687,-3198.7675,-5026.7577,-162.5219,-33.2834,2784.8182,858.2964,-1070.6053,-5031.1068,2880.0445,3969.4330,-6080.7201,-2682.5677,-987.1286,-4898.1570,-3988.7094,4412.2914,-3916.5213,-1823.5858,-1098.4174,4346.4548,5563.4932,-222.9867,5313.1194,-4162.4104,-4956.5501,-3938.1640,-3620.6361,-3738.6857,-1556.7905,-5340.9054,-622.6368,-1467.0932,-526.3032,-6177.2667,3197.7040,8.9539,5751.1520,-4675.0805,6748.9145,-926.9020,5866.7897,-3553.8065,6080.7513,4876.4011,-3276.7306,-6647.3411,4420.9092,-837.5943,108.2117,-5810.2452,-4270.6650,-2733.7081,173.0887,-6386.9858,-4496.8002,-3771.9892,-6111.0438,-2333.6005,3485.5703,-767.3108,6233.2762,4903.9794,275.3758,-1347.5108,-6316.1996,5599.4756,-4203.1131,1391.8475,4401.4220,-2326.7182,-4267.1255,305.6999,5383.7154,-4564.8004,498.8260,-3416.4550,5093.0224,5295.3504,3234.8345,4469.3607,3048.2238,4112.8396,-3009.2443,-1870.9266,3612.4674,-46.6784,6332.2630,826.3603,-2222.1717,-401.1494,-4133.1002,2618.1731,-3896.9190,-5209.2600,-2106.3298,-6299.2516,-3274.0024,-355839.6701,-333693.3891,-352555.2308,-355958.3604,-352004.9119,-353862.5969,-346265.2316,-351349.6157,-266684874.0966,-266701435.5955,-266705156.7716,-266700618.7261,-350822.2213,-266699206.6293,-5192.9408,-5076.5804,3806.3770,4083.9963,516.4223,6233.7866,-5084.3011,5709.6742,-5956.4017,-4194.5191,-4042.4740,-4395.9750,-5055.6734,-3238.5630,-4855.1882,-6733.8462,-987.9395,4873.7571,3556.6069,-3378.6818,6413.9916,6717.6823,3484.8216,-2960.5640,1133.6802,-3900.5838,-5326.8068,-1908.3022,3948.9918,-4608.0587,4571.4621,-5550.7495,3591.2031,4105.3410,5775.9828,-6755.0867,2805.2061,4383.3361,5751.6363,864.0805,1434.5515,-762.3734,6403.3865,-1609.3649,-4871.0421,-1110.9982,94.8571,5933.5022,1902.8592,3024.5105,-2271.2107,-6527.3589,3260.7720,4541.9037,-4229.2761,-6767.2160,1645.5558,-1761.9814,-2122.8402,1285.8967,4463.2713,-5478.0345,6772.1830,52.0477,-4466.8322,896.6875,-3921.0064,-1828.1972,3917.7391,-4649.4140,-4998.4457,-1496.0874,5635.0870,-2803.3964,6781.5890,-994.5911,-3474.1050,-6923.0630,5505.8037,2246.2502,-1703.0957,5264.1484,194.8186,-3817.3049,-748.8404,4056.4517,-5972.4469,3932.1985,4393.6524,625.9142,-5009.4760,3552.0558,6619.7814,5007.7235,-6117.1863,3473.3709,-96.8940,6043.1059,295.0466,3183.1225,-92528.8618,-116275.5871,-113418.5515,-107579.0355,-114531.9711,-110921.7201,-107120.4571,-107888.2367,70332299.3730,70329287.1979,70334472.5041,70334578.4800,-107911.5468,70323861.2307,3671.3674,4691.4038,-4271.7051,4581.6774,-4453.7573,2747.7593,-4721.6290,-2770.5436,3462.6181,5387.5796,2484.2253,4347.4452,2279.8003,-949.6767,4158.6891,-595.4869,4776.5492,-2711.7651,-3979.3370,4622.4643,-1465.4261,-1247.6187,-4127.4414,-2866.3070,6836.4792,2157.3701,1131.0870,-4338.8122,4139.4646,3535.7178,-3613.7850,-3898.5087,-2370.7617,-5541.1894,3530.2125,1441.0857,-1479.4508,4315.6902,3869.5874,3743.5371,-4801.2157,1364.1287,2474.6981,3329.6652,-3196.4869,3104.7104,4897.9607,-1444.4667,290.8849,-4280.3293,-6524.6722,-2138.2916,1461.4074,-2601.5776,4666.4300,-951.1636,-2124.4778,-4831.6933,-5416.3484,-3026.5656,-4758.0531,-2458.6769,1293.5529,-3090.3475,-2004.3675,-6889.4992,5529.4560,-2216.8481,-708.3607,-2995.7635,-4609.0510,-5144.8566,2847.7337,4672.6776,685.8363,-4070.7963,3688.7688,270.7681,2466.5633,-4029.5088,4020.5185,-3159.9161,-5294.7143,-4907.3939,-5535.8204,-4736.2417,-2956.6495,-4434.8774,-5292.4661,2760.2062,-4731.6662,-5545.7018,2009.7857,-2103.5659,1522.5473,-4405.7707,4572.8010,2623.8783,-2856.7547,5127.1214,-38143.7604,-42760.0787,-44732.9342,-36075.1694,-39167.3501,-49792.8156,-48624.4447,-40956.7886,38723079.1761,38730294.4740,38719584.8525,38704024.5747,-42635.6374,38711215.0776,
600.000,-3533.1888,-1844.1627,-3274.7140,-1162.2874,-5494.0635,1158.6877,-2156.1813,3560.2891,1093.1399,-3126.0246,-6072.9334,1303.1676,2198.2705,-5820.1655,-4500.6527,-2116.7902,-4173.8512,-3191.5218,5823.9020,-2280.6270,-645.9496,217.9693,5790.4429,5284.6291,-2263.5129,4487.2295,-4737.6197,-4472.4246,-2281.1714,-4083.7550,-2979.1698,-3139.0534,-3844.4604,1509.0206,-225.4655,-1708.8429,-5593.7796,4932.9970,1871.3633,4854.4262,-4754.1319,6626.9301,510.4226,4556.8134,-4444.3460,6276.9045,5528.3393,-2220.2180,-6062.8531,5846.7498,-2939.8166,-1505.1497,-5041.8437,-2607.2947,-4459.8135,-1068.1045,-5240.3806,-5719.6841,-4218.7751,-6033.6872,-1108.5547,2234.0112,743.7737,5014.2514,4189.5542,-1780.4100,-3292.2880,-6888.1645,6310.0182,-5476.0837,-581.3563,4293.0637,-644.4731,-5735.3341,1805.7854,4229.1109,-4984.3195,903.4317,-2153.1044,6135.7266,5004.0094,4631.9667,4980.9383,971.8520,3445.7670,-2017.4368,-3266.9698,4641.2875,1948.2278,5659.7960,-1307.4674,-388.3889,840.6502,-2984.5006,1502.1512,-1922.9755,-5355.2724,-534.2740,-5236.2201,-2311.7322,-353925.2495,-331238.7596,-350346.7160,-353581.0840,-349638.9251,-351547.5181,-343986.6127,-348619.5296,-268153977.3436,-268170379.0427,-268174589.7268,-268170373.9053,-348478.0877,-268168384.7778,-3512.0195,-3916.1171,5374.4770,4250.0344,2257.2602,6636.6933,-4760.7839,4237.2101,-4476.2964,-4003.9776,-3227.5973,-5671.8237,-5429.4377,-2382.4235,-4184.3214,-6056.7823,963.0138,5984.1335,2770.4316,-2593.4092,6785.4160,6269.1715,2674.6565,-4312.0127,1975.7418,-5245.4331,-4062.6850,42.9030,3508.0035,-2816.8916,5898.4648,-5716.7287,4168.0017,4339.4663,6641.4671,-5957.0749,2062.9725,3427.5722,4894.0229,-778.3346,3302.6859,-1978.1295,5671.8515,-3064.2390,-3121.9607,-2523.6694,-1672.6756,6553.1213,2978.3451,2071.4391,-1806.4267,-5787.1294,4595.6841,4748.7980,-2972.8139,-6203.1186,2677.6982,-320.6700,1.4788,2978.9582,5824.8306,-6492.1383,6894.3360,-699.9591,-5512.3864,1787.5423,-2964.2068,-351.8662,2578.9541,-4058.1605,-5627.7548,-3454.8123,5199.2529,-1737.0338,6523.0275,-2763.3827,-1466.3470,-6426.9401,6510.5669,632.8054,-3603.4939,4935.6492,-1758.0111,-4123.4138,-2805.2837,5590.0027,-5964.2955,2064.4535,4813.1440,-1109.3901,-5139.5610,4644.5103,6877.0387,6106.3910,-6654.5685,3958.0159,1960.1159,5571.1582,1600.1182,4916.2024,-99989.7701,-123327.7689,-120775.2411,-114924.1218,-121967.3999,-118383.8255,-114472.5491,-115603.7282,64492315.9076,64489044.3679,64494027.5174,64494637.6755,-115296.5138,64483904.5413,4810.8574,5389.1649,-2906.4101,5335.5069,-3174.7232,1036.8291,-4564.0025,-4173.5344,5189.2351,4688.2123,748.9862,3559.0129,3490.0724,-2974.3118,3212.1421,-2352.2375,5423.6881,-999.0952,-2518.7146,6012.8483,352.0793,-2926.4274,-2715.4535,-1179.0074,6249.7836,685.7463,2827.6034,-5199.6992,5539.8950,4712.1211,-2061.5615,-2421.4206,-3861.1509,-5180.4684,1962.3768,3088.8855,-3562.3481,3463.8661,4537.4471,4861.6383,-3662.0359,-440.7610,3939.7126,4233.7818,-4133.0984,1454.4111,3800.5656,357.9127,-1514.1449,-2919.6324,-6043.2573,-3382.8823,-78.8851,-4037.4896,4291.0329,-2670.9520,-3660.9665,-3720.6901,-5502.2750,-1693.6970,-3583.0083,-1025.4328,-241.8270,-4774.3818,-231.1205,-6479.0086,5305.0301,-751.9998,843.9324,-1333.9629,-4019.0276,-4207.9982,4218.6815,3466.7039,-871.7734,-4585.5164,4415.9948,2467.1890,1034.1828,-3027.7312,3016.2278,-1523.9798,-4487.9970,-5477.6912,-5327.0446,-3551.6075,-1282.5049,-4730.5599,-4511.0429,3850.2122,-4476.6738,-5156.0773,237.6453,-616.0785,-292.4039,-5225.3717,3943.1944,4059.8627,-4238.7090,4201.2059,-37986.0163,-42625.9571,-44542.7251,-36027.1595,-38852.6339,-49486.2596,-48669.9791,-40759.0001,38727437.8346,38735017.2621,38724469.1345,38708780.6084,-42488.2536,38715645.6623,
