sl_100_5400_20240220 Coordinates.csv
2024/02/20 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:10 2024,
Start: 2024/02/20 07:47:00.00, Stop: 2024/02/20 09:17:00.00,
TIME_UNITS,STARLINK-30858 - X-Coordinate,STARLINK-32184 - X-Coordinate,STARLINK-3523 - X-Coordinate,STARLINK-31184 - X-Coordinate,STARLINK-4083 - X-Coordinate,STARLINK-1619 - X-Coordinate,STARLINK-5496 - X-Coordinate,STARLINK-5762 - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-30967 - X-Coordinate,STARLINK-1730 - X-Coordinate,STARLINK-1266 - X-Coordinate,STARLINK-30927 - X-Coordinate,STARLINK-31346 - X-Coordinate,STARLINK-4432 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-2301 - X-Coordinate,STARLINK-4366 - X-Coordinate,STARLINK-6182 - X-Coordinate,STARLINK-1716 - X-Coordinate,STARLINK-30174 - X-Coordinate,STARLINK-30546 - X-Coordinate,STARLINK-2358 - X-Coordinate,STARLINK-1094 - X-Coordinate,STARLINK-32080 - X-Coordinate,STARLINK-5924 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-3349 - X-Coordinate,STARLINK-2556 - X-Coordinate,STARLINK-1998 - X-Coordinate,STARLINK-31055 - X-Coordinate,STARLINK-3701 - X-Coordinate,STARLINK-32093 - X-Coordinate,STARLINK-5980 - X-Coordinate,STARLINK-32193 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-6214 - X-Coordinate,STARLINK-5420 - X-Coordinate,STARLINK-3775 - X-Coordinate,STARLINK-32032 - X-Coordinate,STARLINK-5189 - X-Coordinate,STARLINK-5962 - X-Coordinate,STARLINK-2280 - X-Coordinate,STARLINK-5539 - X-Coordinate,STARLINK-2437 - X-Coordinate,STARLINK-5510 - X-Coordinate,STARLINK-5961 - X-Coordinate,STARLINK-2332 - X-Coordinate,STARLINK-5441 - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,STARLINK-31619 - X-Coordinate,STARLINK-5060 - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-1683 - X-Coordinate,STARLINK-30316 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-30088 - X-Coordinate,STARLINK-30178 - X-Coordinate,STARLINK-31448 - X-Coordinate,STARLINK-31066 - X-Coordinate,STARLINK-1722 - X-Coordinate,STARLINK-5486 - X-Coordinate,STARLINK-30776 - X-Coordinate,STARLINK-6335 - X-Coordinate,STARLINK-1818 - X-Coordinate,STARLINK-32145 - X-Coordinate,STARLINK-4035 - X-Coordinate,STARLINK-30960 - X-Coordinate,STARLINK-30973 - X-Coordinate,STARLINK-30094 - X-Coordinate,STARLINK-30285 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-4503 - X-Coordinate,STARLINK-3317 - X-Coordinate,STARLINK-4293 - X-Coordinate,STARLINK-31280 - X-Coordinate,STARLINK-30266 - X-Coordinate,STARLINK-3954 - X-Coordinate,STARLINK-31707 - X-Coordinate,STARLINK-5992 - X-Coordinate,STARLINK-30556 - X-Coordinate,STARLINK-31565 - X-Coordinate,STARLINK-30980 - X-Coordinate,STARLINK-5238 - X-Coordinate,STARLINK-31223 - X-Coordinate,STARLINK-31081 - X-Coordinate,STARLINK-1739 - X-Coordinate,STARLINK-11103 [DTC] - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-5611 - X-Coordinate,STARLINK-30824 - X-Coordinate,STARLINK-31813 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-6276 - X-Coordinate,STARLINK-2453 - X-Coordinate,STARLINK-5143 - X-Coordinate,STARLINK-5567 - X-Coordinate,STARLINK-5756 - X-Coordinate,STARLINK-31495 - X-Coordinate,STARLINK-4602 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30858 - Y-Coordinate,STARLINK-32184 - Y-Coordinate,STARLINK-3523 - Y-Coordinate,STARLINK-31184 - Y-Coordinate,STARLINK-4083 - Y-Coordinate,STARLINK-1619 - Y-Coordinate,STARLINK-5496 - Y-Coordinate,STARLINK-5762 - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-30967 - Y-Coordinate,STARLINK-1730 - Y-Coordinate,STARLINK-1266 - Y-Coordinate,STARLINK-30927 - Y-Coordinate,STARLINK-31346 - Y-Coordinate,STARLINK-4432 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-2301 - Y-Coordinate,STARLINK-4366 - Y-Coordinate,STARLINK-6182 - Y-Coordinate,STARLINK-1716 - Y-Coordinate,STARLINK-30174 - Y-Coordinate,STARLINK-30546 - Y-Coordinate,STARLINK-2358 - Y-Coordinate,STARLINK-1094 - Y-Coordinate,STARLINK-32080 - Y-Coordinate,STARLINK-5924 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-3349 - Y-Coordinate,STARLINK-2556 - Y-Coordinate,STARLINK-1998 - Y-Coordinate,STARLINK-31055 - Y-Coordinate,STARLINK-3701 - Y-Coordinate,STARLINK-32093 - Y-Coordinate,STARLINK-5980 - Y-Coordinate,STARLINK-32193 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-6214 - Y-Coordinate,STARLINK-5420 - Y-Coordinate,STARLINK-3775 - Y-Coordinate,STARLINK-32032 - Y-Coordinate,STARLINK-5189 - Y-Coordinate,STARLINK-5962 - Y-Coordinate,STARLINK-2280 - Y-Coordinate,STARLINK-5539 - Y-Coordinate,STARLINK-2437 - Y-Coordinate,STARLINK-5510 - Y-Coordinate,STARLINK-5961 - Y-Coordinate,STARLINK-2332 - Y-Coordinate,STARLINK-5441 - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,STARLINK-31619 - Y-Coordinate,STARLINK-5060 - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-1683 - Y-Coordinate,STARLINK-30316 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-30088 - Y-Coordinate,STARLINK-30178 - Y-Coordinate,STARLINK-31448 - Y-Coordinate,STARLINK-31066 - Y-Coordinate,STARLINK-1722 - Y-Coordinate,STARLINK-5486 - Y-Coordinate,STARLINK-30776 - Y-Coordinate,STARLINK-6335 - Y-Coordinate,STARLINK-1818 - Y-Coordinate,STARLINK-32145 - Y-Coordinate,STARLINK-4035 - Y-Coordinate,STARLINK-30960 - Y-Coordinate,STARLINK-30973 - Y-Coordinate,STARLINK-30094 - Y-Coordinate,STARLINK-30285 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-4503 - Y-Coordinate,STARLINK-3317 - Y-Coordinate,STARLINK-4293 - Y-Coordinate,STARLINK-31280 - Y-Coordinate,STARLINK-30266 - Y-Coordinate,STARLINK-3954 - Y-Coordinate,STARLINK-31707 - Y-Coordinate,STARLINK-5992 - Y-Coordinate,STARLINK-30556 - Y-Coordinate,STARLINK-31565 - Y-Coordinate,STARLINK-30980 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,STARLINK-31223 - Y-Coordinate,STARLINK-31081 - Y-Coordinate,STARLINK-1739 - Y-Coordinate,STARLINK-11103 [DTC] - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-5611 - Y-Coordinate,STARLINK-30824 - Y-Coordinate,STARLINK-31813 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-6276 - Y-Coordinate,STARLINK-2453 - Y-Coordinate,STARLINK-5143 - Y-Coordinate,STARLINK-5567 - Y-Coordinate,STARLINK-5756 - Y-Coordinate,STARLINK-31495 - Y-Coordinate,STARLINK-4602 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30858 - Z-Coordinate,STARLINK-32184 - Z-Coordinate,STARLINK-3523 - Z-Coordinate,STARLINK-31184 - Z-Coordinate,STARLINK-4083 - Z-Coordinate,STARLINK-1619 - Z-Coordinate,STARLINK-5496 - Z-Coordinate,STARLINK-5762 - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-30967 - Z-Coordinate,STARLINK-1730 - Z-Coordinate,STARLINK-1266 - Z-Coordinate,STARLINK-30927 - Z-Coordinate,STARLINK-31346 - Z-Coordinate,STARLINK-4432 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-2301 - Z-Coordinate,STARLINK-4366 - Z-Coordinate,STARLINK-6182 - Z-Coordinate,STARLINK-1716 - Z-Coordinate,STARLINK-30174 - Z-Coordinate,STARLINK-30546 - Z-Coordinate,STARLINK-2358 - Z-Coordinate,STARLINK-1094 - Z-Coordinate,STARLINK-32080 - Z-Coordinate,STARLINK-5924 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-3349 - Z-Coordinate,STARLINK-2556 - Z-Coordinate,STARLINK-1998 - Z-Coordinate,STARLINK-31055 - Z-Coordinate,STARLINK-3701 - Z-Coordinate,STARLINK-32093 - Z-Coordinate,STARLINK-5980 - Z-Coordinate,STARLINK-32193 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-6214 - Z-Coordinate,STARLINK-5420 - Z-Coordinate,STARLINK-3775 - Z-Coordinate,STARLINK-32032 - Z-Coordinate,STARLINK-5189 - Z-Coordinate,STARLINK-5962 - Z-Coordinate,STARLINK-2280 - Z-Coordinate,STARLINK-5539 - Z-Coordinate,STARLINK-2437 - Z-Coordinate,STARLINK-5510 - Z-Coordinate,STARLINK-5961 - Z-Coordinate,STARLINK-2332 - Z-Coordinate,STARLINK-5441 - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,STARLINK-31619 - Z-Coordinate,STARLINK-5060 - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-1683 - Z-Coordinate,STARLINK-30316 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-30088 - Z-Coordinate,STARLINK-30178 - Z-Coordinate,STARLINK-31448 - Z-Coordinate,STARLINK-31066 - Z-Coordinate,STARLINK-1722 - Z-Coordinate,STARLINK-5486 - Z-Coordinate,STARLINK-30776 - Z-Coordinate,STARLINK-6335 - Z-Coordinate,STARLINK-1818 - Z-Coordinate,STARLINK-32145 - Z-Coordinate,STARLINK-4035 - Z-Coordinate,STARLINK-30960 - Z-Coordinate,STARLINK-30973 - Z-Coordinate,STARLINK-30094 - Z-Coordinate,STARLINK-30285 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-4503 - Z-Coordinate,STARLINK-3317 - Z-Coordinate,STARLINK-4293 - Z-Coordinate,STARLINK-31280 - Z-Coordinate,STARLINK-30266 - Z-Coordinate,STARLINK-3954 - Z-Coordinate,STARLINK-31707 - Z-Coordinate,STARLINK-5992 - Z-Coordinate,STARLINK-30556 - Z-Coordinate,STARLINK-31565 - Z-Coordinate,STARLINK-30980 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,STARLINK-31223 - Z-Coordinate,STARLINK-31081 - Z-Coordinate,STARLINK-1739 - Z-Coordinate,STARLINK-11103 [DTC] - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-5611 - Z-Coordinate,STARLINK-30824 - Z-Coordinate,STARLINK-31813 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-6276 - Z-Coordinate,STARLINK-2453 - Z-Coordinate,STARLINK-5143 - Z-Coordinate,STARLINK-5567 - Z-Coordinate,STARLINK-5756 - Z-Coordinate,STARLINK-31495 - Z-Coordinate,STARLINK-4602 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5830.5205,0.0000,3795.3143,-979.1409,-4525.8624,-4436.5899,-79.2181,5950.8455,-6073.7958,5005.9727,6712.4165,-6014.8746,-5962.9599,-437.8617,373.1477,5447.9900,1474.9030,6122.3560,480.2984,2516.7300,-5079.4554,1559.7337,-2043.6013,1111.2394,1058.4748,-2490.1914,-4235.2312,241.2798,3465.0065,1632.0288,-760.3917,1321.8307,385.7260,-49.1148,2634.5445,-4225.5555,-3367.1381,5359.5726,3511.9874,6454.1952,5361.9448,-5186.9412,-4685.1696,2622.8490,-1436.2743,5322.2014,5078.6708,4544.3358,4280.2360,4280.7460,1721.0518,-1990.5382,5799.5359,-6907.9145,5890.7456,-314.1218,3908.9402,-4487.9759,-2757.9117,-4528.9321,5714.1244,-2883.9222,2862.6580,-2585.9268,3052.5026,2628.0206,-1892.8077,794.1307,-2291.4156,-553.9001,-1824.3279,1802.7951,-3730.9241,-2538.1474,1986.8933,-3607.9409,-6507.0157,2037.9540,-1150.5987,-5815.7307,-1726.3212,-5359.8405,-4982.4791,4752.9599,-2955.8909,-5442.8408,-5735.6870,5600.7851,2063.2443,4210.7643,-6837.2569,1281.8477,-3146.4733,-1512.2708,-3770.0850,5350.0462,-4299.0617,-5293.6819,-3465.3394,-3038.9151,333975.2002,334067.9199,324913.3584,331355.5171,324101.5708,328081.8996,330285.9927,329310.5140,-236517068.7191,-236526754.8871,-236534798.6885,-236511431.8573,330354.7657,-236517555.7124,-2171.5659,0.0000,3855.1338,-5359.9601,801.7048,-3625.3710,-6814.2524,-3496.3156,2946.3785,878.0924,-1474.5549,-2144.8459,287.2080,6526.0379,5308.5882,3645.5748,6314.5327,-3247.0815,-6688.0401,5800.0162,-2048.6785,6633.8423,-6409.4156,4137.3672,6717.8743,1502.0981,453.4347,4164.4214,5984.0713,5433.7016,-4248.5096,6349.1166,-6578.9820,-1126.0443,3591.0084,-1031.3522,-862.5010,-2241.7611,-2423.6680,-269.2321,3896.5942,1212.8845,-3847.3224,-75.0681,-4009.7698,1159.8846,10.7688,5023.6977,-471.4853,2729.3352,4856.7396,5396.5438,-2167.0260,-597.8691,-2393.6572,6937.5058,-4127.8939,2637.6912,-5660.0827,-2423.2633,2668.7999,-5810.8972,5390.3105,-4516.6943,-3210.1204,-3199.6541,-4087.0079,-6589.2037,4124.6861,6101.6717,6543.4544,4363.5620,-5087.5027,4640.4478,-3757.8569,-3213.4945,-84.6863,5034.3728,5921.3328,-3494.6107,6165.7479,2540.7463,1462.4179,1573.1896,-4394.1399,148.2351,-2478.8503,145.3828,5043.9036,-5161.1449,-947.7870,-4143.0425,-4204.6072,-6177.8200,-4506.6207,2208.5358,3164.4186,3769.0304,-5370.6316,-4448.1477,-113303.7285,-123730.8768,-119328.6209,-116119.9649,-118903.5995,-117717.9121,-125855.2715,-121926.9447,209762746.9840,209743124.9084,209738094.6836,209751478.2075,-121115.8201,209745049.4756,3066.6864,0.0000,-4326.8776,4181.3941,5162.1583,3839.3402,-1294.4403,691.9474,-1629.9643,-4727.4150,-965.4875,-2701.9217,3338.6481,2038.2457,4456.5336,1950.8383,-2496.4449,-465.8907,-1782.5324,2833.1998,4248.2696,-1253.1424,1728.1014,-5456.1247,-555.2881,-6326.1141,-5231.4273,5512.2099,485.4044,-3977.8204,-5331.7639,2445.1916,1785.7486,-6858.4872,-5213.9561,-5395.4362,6010.8103,-3768.3068,-5454.9284,-2193.1983,-1996.9204,4435.3063,-3387.6490,6428.4638,-5468.0507,4312.0614,-4732.8524,1481.5602,-5423.1218,4411.0241,4483.9477,3901.5213,2866.1413,-289.8370,2527.8365,17.0662,3973.0725,-4591.6839,-2630.1543,-4670.9286,-2951.2124,-2509.8792,3293.8082,-4602.7408,5309.0243,-5431.9252,-5265.9890,2000.4239,-5082.8104,3245.0116,841.3903,-5070.4393,2841.8165,-4477.9234,-5469.1043,4843.8836,2416.1231,4300.3998,-3198.1601,1462.9899,2409.3490,3359.2368,4590.9069,-4783.1605,4360.1506,-4208.6238,3035.4163,3738.9365,3932.0994,-2003.5408,669.6999,-5315.7488,4209.4642,-2786.2019,-3696.4932,-3799.9951,-4436.1167,-2444.3666,2380.4235,-4345.5836,185363.3411,185744.9081,182654.2293,191723.0682,187916.2916,177379.5686,179325.1440,183665.5889,-114250360.4005,-114269896.2377,-114257793.0790,-114235966.2234,184873.7075,-114240165.2248,
300.000,-6679.8839,0.0000,5372.6210,-2941.5057,-4708.2641,-5829.1185,-1593.6949,4770.3071,-4798.1644,5218.9153,5881.7911,-6782.9829,-4796.5405,810.3891,-76.1695,6287.6896,2798.0869,6126.9263,-1054.6459,3363.7899,-5103.8967,2908.1978,-3254.8581,3172.1950,2513.0449,-2488.3995,-4361.8873,2353.8306,4395.9293,2780.6394,-2662.0511,2636.5530,-1168.3327,1834.7765,4487.1966,-5011.7949,-2221.7850,5327.1582,1835.8942,5510.2459,6238.3139,-4925.5309,-4758.8677,3347.9695,-3463.9030,6456.8170,4881.7762,4988.2354,4339.7144,4223.5474,3709.5240,-1557.3090,4390.6882,-6743.1603,4500.4058,-738.3391,1960.8514,-3524.9386,-3884.9922,-5125.6355,6644.6819,-3668.3304,4522.8581,-4117.1933,1882.5890,1028.9733,-3856.5100,-861.3017,-944.9994,1253.6503,-622.9861,3175.0660,-4228.8513,-1425.4706,240.4518,-5257.4053,-6706.7933,3739.2684,736.5181,-5666.8572,-202.1087,-4887.4150,-4487.0133,5899.5894,-4246.0389,-5658.6409,-6662.3342,4477.4392,3723.0365,3099.3203,-6565.8267,-895.6227,-3763.9076,-2927.1837,-4191.4462,6443.0142,-2554.1033,-3703.6645,-4397.9089,-3735.4798,336092.7859,336668.4535,327448.1291,333889.1273,326537.4840,330512.4174,332834.7111,332171.0331,-241038219.6178,-241047598.0693,-241055532.9034,-241033298.1378,332854.0078,-241038720.0044,-695.1694,0.0000,3203.5935,-5280.9907,2767.6879,-2847.8153,-6745.0162,-4544.8415,4046.7032,-1239.6523,-2539.1583,-1027.4006,1670.9567,6800.4227,6464.8237,2691.9525,6311.7540,-2746.2851,-6850.4873,4345.3177,61.9946,5701.7604,-6138.0731,3810.6618,6262.8178,3532.0069,2525.3642,3649.4987,5197.0784,3900.3338,-3179.5991,6373.0709,-6723.3312,145.7056,2794.5474,874.4527,962.6902,-3805.9705,-3808.2863,-1534.0852,2989.1770,3212.8671,-2059.5728,-2044.0739,-3478.2562,554.1799,-2115.2025,3662.4667,-2542.1745,659.4529,4279.8575,6469.6372,-3453.4352,618.5233,-3266.8992,6549.0817,-4817.3744,4463.3532,-4173.3865,-355.3443,1632.3289,-5891.9851,4855.0808,-3009.8866,-4874.6598,-4611.6849,-3687.4144,-6046.5220,5516.7539,5385.9624,6747.4365,2737.6957,-3478.7277,5988.7542,-4911.3538,-2284.8219,1509.2697,5039.2528,5383.3364,-3935.7963,5620.9875,4260.6652,3471.4656,132.9200,-2679.3416,2102.6091,-1412.4901,-1419.6376,5025.2377,-4861.1213,605.8260,-4041.4596,-2273.2932,-4967.8199,-2701.1674,1078.2412,4390.3730,4625.6624,-3800.0373,-2582.7808,-106378.7486,-117057.4139,-112223.4304,-109191.5946,-111944.0012,-110698.5381,-118837.5690,-114820.0244,204550160.4831,204530464.1254,204525024.5571,204538924.2888,-114147.4666,204532378.4902,1743.1425,0.0000,-2975.1344,3263.2220,4238.4147,2347.1995,241.3965,2163.2100,-2973.7685,-4404.3847,-2672.7164,-998.0757,4577.6978,256.1231,2535.1326,160.8498,-769.8684,1766.6584,-275.0400,4215.5172,4688.8429,-2656.7024,-59.8773,-4851.9112,1000.7778,-5459.9200,-4483.6387,5378.0241,-1320.5205,-5007.8636,-5464.8780,707.2509,268.2068,-6702.3744,-4367.3197,-4705.9550,6506.3907,-2252.5482,-5485.9435,-3720.2290,-218.4622,3672.2023,-4621.2443,5730.1436,-4893.2974,2509.2370,-4458.8173,3123.0428,-4759.9260,5190.2910,3820.3358,2013.4635,3914.3035,1508.8744,3982.5268,-2196.8507,4587.2839,-3978.4868,-3749.2071,-4668.8903,-1284.0938,-441.0127,2024.8327,-4717.9555,4529.5749,-4931.8742,-4421.1406,3274.6256,-4094.8500,4179.5350,-983.2684,-5516.4304,4226.2028,-3181.6464,-4878.6997,3737.8047,977.3826,2939.8130,-4134.4792,-777.7928,3890.2471,2109.3579,3984.1835,-3621.6096,4673.7001,-3303.1452,1380.4249,4824.6843,2465.5740,-3893.3978,2143.2075,-5471.2626,5093.0611,-3869.5979,-4830.6953,-2292.1800,-4730.1135,-3619.0893,3565.7836,-5223.9925,185286.0648,185766.9537,182658.1869,191611.5491,188069.2638,177503.2218,179094.8610,183325.5177,-114246055.0159,-114265650.3506,-114253828.5325,-114231479.5518,184849.9072,-114236008.5781,
600.000,-6886.3602,0.0000,6412.2485,-4597.0553,-4466.3809,-6632.6101,-2956.1056,3119.7135,-3055.6961,4969.8053,4470.1609,-6880.3813,-3157.8276,1972.6501,-552.6267,6479.2572,3838.9934,5454.8423,-2484.9466,3925.9225,-4679.0112,4000.1369,-4147.1771,4918.6651,3721.0516,-2307.1548,-4070.9647,4243.9264,4905.3691,3709.2807,-4325.3717,3683.5082,-2601.0223,3469.1186,5887.8315,-5346.7253,-921.2421,4786.0404,18.1509,4005.5042,6493.7779,-4221.6967,-4413.7111,3801.1494,-5153.4994,6937.0375,4257.4628,4969.8381,4022.1906,3768.6326,5320.4301,-992.4097,2542.0161,-5915.0031,2644.6586,-1052.0614,-174.0878,-2259.6562,-4653.9903,-5271.8707,6925.7350,-4075.6086,5736.4460,-5286.1375,574.1191,-631.9213,-5434.7542,-2461.4033,452.1460,2970.2510,653.3516,4286.7114,-4353.2013,-207.3678,-1490.7932,-6371.4567,-6262.8508,5052.7743,2576.6986,-4908.1398,1380.4145,-3934.4143,-3595.6850,6479.7774,-5151.7535,-5340.3887,-6934.6572,2902.4677,4961.2562,1639.0794,-5663.6259,-2987.2719,-4035.1496,-4096.0627,-4255.2304,6899.3838,-584.4492,-1750.5821,-4917.0992,-4121.4518,338064.9149,339122.0008,329837.7176,336277.2912,328830.7323,332794.4555,335234.2464,334928.1182,-245444515.2720,-245453586.1404,-245461395.2559,-245440330.1266,335206.3233,-245445025.3468,831.8728,0.0000,2268.0495,-4704.6309,4438.7604,-1811.1417,-6021.8328,-5172.5361,4785.4566,-3227.0642,-3384.0178,180.3745,2931.4110,6378.7479,6917.1588,1462.9414,5693.3664,-1969.3286,-6350.2435,2458.9323,2174.8576,4216.3407,-5263.9907,3163.9585,5167.0006,5196.4094,4310.2017,2832.0849,3889.0588,1998.3555,-1841.1096,5770.8351,-6184.9028,1479.1224,1762.9114,2662.8337,2740.0014,-4976.4887,-4864.6986,-2681.7519,1786.9146,4892.8512,-48.5788,-3771.8559,-2659.0249,-74.6697,-4035.5507,1921.2694,-4347.9282,-1498.1914,3307.0101,6882.4797,-4426.3220,1790.9877,-3850.2037,5452.5121,-5085.6919,5865.5631,-2263.6184,1733.8345,450.9214,-5378.2276,3867.5427,-1244.9660,-6072.4372,-5583.8457,-2973.5309,-4932.0088,6383.8527,4175.4959,6260.7339,875.6291,-1511.8828,6750.9374,-5618.8068,-1164.4620,2948.7834,4573.9010,4328.9037,-3940.3520,4522.7314,5535.6908,5142.2872,-1283.6899,-719.2609,3830.7974,-223.1690,-2879.5348,4484.4380,-4106.5510,2120.7252,-3591.6018,-98.0493,-3289.4749,-621.0408,-133.2236,5233.5375,5070.8584,-1837.2031,-466.0580,-99420.8735,-110318.3236,-105067.8140,-102211.3689,-104936.8260,-103631.5048,-111763.3592,-107594.5537,199240146.3103,199220387.9951,199214543.0606,199228885.3683,-107127.5371,199222278.8584,233.3872,0.0000,-1304.2689,1986.3265,2857.9356,600.1303,1751.3790,3403.0788,-4001.1442,-3612.3505,-4095.0331,812.6494,5307.3153,-1554.4246,343.7673,-1647.0922,1038.6400,3810.8361,1261.8452,5146.0114,4628.2487,-3775.6232,-1841.5125,-3730.5879,2444.3700,-4018.6192,-3216.3861,4664.9981,-2985.1192,-5502.6160,-4996.4406,-1106.4591,-1279.3969,-5838.0510,-3038.5762,-3513.3402,6311.8607,-494.7497,-4929.9689,-4830.2299,1583.4886,2516.4937,-5363.9915,4423.7431,-3795.7059,439.7656,-3710.2224,4430.2732,-3586.6611,5363.0555,2730.0554,-88.3523,4523.3116,3146.3130,4994.1510,-4177.1034,4711.9706,-2941.4753,-4448.0987,-4170.2116,518.8245,1674.6212,539.4896,-4332.4606,3262.6641,-3881.4063,-3103.2610,4198.1355,-2669.6838,4667.1900,-2698.6749,-5372.8870,5155.9114,-1544.5788,-3766.0337,2216.3699,-565.5758,1264.2393,-4608.3889,-2935.6909,4938.0812,622.1703,2951.5044,-2071.3176,4472.0465,-2036.4205,-421.3989,5348.6922,709.8166,-5371.3295,3387.3132,-5024.6846,5382.6273,-4541.3153,-5451.2323,-538.0031,-4520.6212,-4408.5753,4350.5633,-5542.2937,185208.3605,185785.4151,182666.2104,191494.9723,188218.6578,177632.1468,178870.6768,183099.7108,-114241744.8788,-114261400.4187,-114249859.6728,-114227012.2106,184826.0000,-114231851.7216,
