TIME_UNITS,STARLINK-31586 - X-Coordinate,STARLINK-4174 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-31355 - X-Coordinate,STARLINK-30984 - X-Coordinate,STARLINK-4322 - X-Coordinate,STARLINK-1612 - X-Coordinate,STARLINK-2363 - X-Coordinate,STARLINK-5455 - X-Coordinate,STARLINK-31579 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31586 - Y-Coordinate,STARLINK-4174 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-31355 - Y-Coordinate,STARLINK-30984 - Y-Coordinate,STARLINK-4322 - Y-Coordinate,STARLINK-1612 - Y-Coordinate,STARLINK-2363 - Y-Coordinate,STARLINK-5455 - Y-Coordinate,STARLINK-31579 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31586 - Z-Coordinate,STARLINK-4174 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-31355 - Z-Coordinate,STARLINK-30984 - Z-Coordinate,STARLINK-4322 - Z-Coordinate,STARLINK-1612 - Z-Coordinate,STARLINK-2363 - Z-Coordinate,STARLINK-5455 - Z-Coordinate,STARLINK-31579 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,-391.3223,6438.0071,-2054.0270,-4508.1759,6780.4067,3838.8795,1978.1745,2619.0600,809.8684,-5131.7846,75195.3101,78004.9045,69207.4187,70678.9139,69643.4888,69689.0736,78139.6790,75015.8808,-288361522.8083,-288378066.2848,-288370229.0418,-288367347.6385,74311.8382,-288373327.1438,-6194.0229,-2495.1289,-4923.3398,1008.3928,-1458.7370,2741.7069,-4543.3222,6141.4542,-4841.9448,-1287.9025,-350825.2159,-346018.9714,-351858.4453,-345627.8075,-354085.7399,-350068.7914,-350364.7174,-350549.6928,75316736.0919,75318201.8582,75319703.8540,75298811.4081,-348902.4275,75304973.9342,2837.0392,482.9373,4107.3644,5042.9727,-12.5651,5086.9802,4854.7213,1853.1304,4911.3389,-4364.4021,-164572.3799,-163269.6287,-165897.7872,-158477.8187,-159543.5346,-169994.2503,-171492.3066,-164248.4731,-12868946.5071,-12871893.4048,-12884697.0781,-12886910.5771,-164184.3293,-12880765.5544,
3000.000,-1752.7546,5804.5538,-3098.1799,-4633.8495,6139.5004,4602.3863,613.9327,3470.7099,63.5386,-4417.3160,83106.5821,85629.3630,76448.1346,78056.2917,76984.1038,76975.2640,85394.1519,82417.7488,-289935146.5948,-289951807.9204,-289944335.0773,-289940621.2987,81632.9805,-289946959.1269,-6498.3838,-3532.2793,-3211.4804,2966.5306,-2844.6415,3987.9299,-5815.6229,4911.2514,-6128.5083,596.8053,-348918.0857,-344315.0896,-350071.9183,-343921.7399,-352440.6587,-348446.7786,-348629.2109,-348747.0833,69002652.8044,69003891.7793,69005836.4235,68985303.5041,-347218.8743,68990969.6666,1139.4983,-1327.6508,5039.6432,4065.2916,1512.9620,3328.1032,3735.5587,3437.3156,3270.4118,-5212.9368,-164510.5661,-163289.8236,-165894.0804,-158683.3316,-159466.7363,-169855.8122,-171706.3072,-164793.4537,-12863248.6177,-12865743.4824,-12878539.9963,-12881696.0659,-164248.9084,-12875137.6439,
3300.000,-2920.2585,4589.2050,-3865.9902,-4326.3786,4900.8085,4832.7539,-771.7871,4017.4121,-646.6546,-3301.4111,90913.7516,93202.9028,83653.7202,85396.8677,84289.5019,84229.0211,92607.4743,89715.4692,-291370538.2171,-291387305.8701,-291380219.5231,-291375705.6092,88916.1198,-291382362.6991,-6134.1977,-4232.6793,-1167.6042,4601.0134,-3969.2386,4833.5909,-6532.2965,3188.6805,-6799.8637,2456.2899,-346769.3226,-342453.3742,-348131.2376,-342061.6691,-350639.8281,-346671.8765,-346742.7990,-346675.0839,62655756.6328,62656759.0836,62659126.1198,62639011.7234,-345381.7782,62644151.7656,-685.8603,-2995.5057,5384.7679,2635.5598,2876.5074,1214.3606,2218.0912,4652.9481,1281.7742,-5487.1206,-164438.6071,-163313.2460,-165887.1431,-158894.8275,-159393.3119,-169711.1503,-171914.7948,-165297.6498,-12857556.1623,-12859601.3972,-12872379.4362,-12876461.2115,-164313.3893,-12869509.7916,
3600.000,-3792.6276,2906.6205,-4278.4206,-3601.8524,3182.4687,4525.4276,-2058.2651,4219.0561,-1274.2694,-1901.0914,98605.1784,100723.2779,90821.0411,92697.5777,91556.2588,91447.4402,99776.6469,96901.0140,-292667015.0778,-292683877.1561,-292677198.2181,-292671919.0184,96158.0377,-292678855.2269,-5131.8220,-4545.1692,985.5200,5749.7770,-4736.5429,5165.5530,-6615.6195,1143.1402,-6782.5530,4102.1491,-344404.4967,-340433.8940,-346037.2782,-340048.6033,-348684.0945,-344744.5758,-344706.5124,-344356.4389,56279073.4862,56279830.4611,56282598.1261,56262957.9403,-343391.9945,56267545.9792,-2434.3874,-4341.7585,5102.7591,912.6616,3932.0962,-1028.9270,464.0652,5369.9881,-843.1633,-5156.9448,-164362.5592,-163339.5602,-165877.1113,-159112.4630,-159323.2518,-169560.1767,-172117.8349,-165729.1963,-12851869.1702,-12853467.4525,-12866215.9060,-12871205.8102,-164377.7719,-12863881.9975,
3900.000,-4299.1373,919.3975,-4287.3769,-2516.7087,1150.2244,3737.0534,-3137.3906,4064.1486,-1783.3711,-356.3267,106178.1104,108188.1269,97946.9792,99955.3977,98780.9777,98627.6476,106898.6884,103972.5023,-293823960.8096,-293840905.0760,-293834653.1824,-293828645.9285,103355.5351,-293835820.3002,-3589.1466,-4454.0943,3015.3875,6303.0420,-5082.4884,4926.7872,-6050.2868,-1022.9692,-6074.7432,5363.4097,-341845.8602,-338256.9975,-343790.9802,-337883.6346,-346574.3736,-342665.4047,-342521.4346,-341820.1540,49875643.4368,49876146.7827,49879291.8784,49860178.3023,-341250.4455,49864192.2197,-3910.5075,-5222.5937,4226.3744,-911.7581,4566.8404,-3162.5976,-1339.4578,5511.9281,-2878.6067,-4258.4074,-164286.6315,-163368.4767,-165864.1266,-159336.4032,-159256.5458,-169402.8035,-172315.4898,-166062.2330,-12846187.6682,-12847341.9256,-12860049.9349,-12865929.7413,-164442.0562,-12858254.2617,
4200.000,-4404.5364,-1178.0073,-3881.4117,-1163.9444,-998.9169,2576.5870,-3922.5530,3569.8405,-2149.3251,1183.6395,113634.3282,115594.9895,105028.4331,107167.3472,105960.2892,105766.8042,113970.6369,110934.1239,-294840825.5685,-294857839.4962,-294852032.9160,-294845337.0109,110505.4334,-294852708.0252,-1661.5328,-3978.8001,4704.8592,6214.0387,-4979.9060,4124.8308,-4885.7971,-3094.5181,-4746.6099,6104.1950,-339110.5715,-335923.2609,-341393.3477,-335567.9410,-344311.6503,-340434.9255,-340188.7023,-339099.0910,43448519.2698,43448761.6468,43452259.6211,43433721.7864,-338958.1208,43437143.1146,-4949.7471,-5544.2453,2857.4385,-2634.9007,4712.9600,-4959.8667,-3000.3563,5063.7101,-4608.9992,-2889.8678,-164213.3525,-163399.7445,-165848.3360,-159566.8211,-159193.1842,-169238.9433,-172507.8191,-166278.2948,-12840511.6806,-12841225.0682,-12853882.0726,-12860632.9542,-164506.2422,-12852626.5842,
4500.000,-4110.3795,-3178.2959,-3088.4838,334.6487,-3055.9895,1190.3213,-4355.1376,2779.9740,-2358.3707,2574.4108,120977.1826,122941.3221,112062.3195,114330.4937,113090.8533,112862.1084,120989.5513,117795.6513,-295717126.2954,-295734197.1122,-295728852.6657,-295721509.4868,117604.5758,-295729035.2861,454.3574,-3170.2849,5875.6286,5502.6197,-4440.3135,2832.3451,-3231.9157,-4865.0735,-2932.5995,6238.7173,-336211.2012,-333433.4493,-338845.4489,-333102.7890,-341896.9783,-338053.7317,-337709.5053,-336227.5637,37000765.0280,37000739.9196,37004564.9557,36986648.7479,-336516.0764,36989462.5516,-5436.7796,-5272.5025,1155.3155,-4065.7190,4354.8911,-6230.7544,-4342.2043,4073.2364,-5852.1142,-1201.8155,-164144.0654,-163433.1451,-165829.8918,-159803.8980,-159133.1574,-169068.5111,-172694.8794,-166367.1804,-12834841.2292,-12835117.1059,-12847712.8876,-12855315.4564,-164570.3297,-12846998.9649,
4800.000,-3453.0651,-4881.5355,-1975.0710,1839.4140,-4820.4732,-256.7406,-4408.1091,1761.3836,-2406.3432,3689.8905,128210.0792,130224.5137,119045.5745,121441.9566,120169.3597,119910.8007,127952.5124,124571.5959,-296452446.9448,-296469561.6783,-296464694.6605,-296456747.3756,124649.8292,-296464385.9744,2540.7691,-2105.6773,6407.5486,4251.5084,-3512.5722,1179.9421,-1247.8242,-6157.6087,-816.9263,5741.8205,-333156.8794,-330788.4885,-336148.4159,-330489.5361,-339331.4795,-335522.4430,-335085.0864,-333239.0484,30535454.5513,30535156.2705,30539281.3841,30522029.4615,-333925.4345,30524224.2174,-5317.6923,-4436.1331,-681.5439,-5046.1851,3530.8934,-6841.7749,-5223.0065,2646.4020,-6477.8740,619.3051,-164079.3767,-163468.4878,-165808.9511,-160047.8237,-159076.4562,-168891.4252,-172876.7249,-166327.3700,-12829176.3335,-12829018.2392,-12841542.9663,-12849977.3035,-164634.3189,-12841371.4039,
5100.000,-2499.2443,-6114.9567,-641.2413,3205.7126,-6119.9750,-1600.4965,-4086.6543,598.6220,-2297.0638,4433.7596,135335.8632,137441.8988,125975.1548,128498.9121,127192.5291,126910.1680,134856.6249,131280.0489,-297046438.6829,-297063584.2033,-297059208.3159,-297050701.7081,131638.0851,-297058411.1866,4381.0060,-881.1179,6251.3611,2596.0871,-2278.5923,-657.4764,873.5919,-6842.5924,1385.5803,4653.3941,-329954.3526,-327989.4427,-333303.4439,-327729.6346,-336616.3438,-332841.7017,-332316.7418,-330164.0697,24055670.0105,24055093.7028,24059490.8462,24042942.6575,-331187.3825,24044510.1331,-4605.5964,-3124.0620,-2439.0201,-5468.4145,2329.0427,-6729.1245,-5549.8701,935.9773,-6421.1853,2371.7451,-164019.4678,-163505.6052,-165785.6755,-160298.7960,-159023.0720,-168707.6102,-173053.4070,-166166.0448,-12823517.0103,-12822928.6436,-12835372.9108,-12844618.5908,-164698.2095,-12835743.9012,
5400.000,-1339.2310,-6750.7069,788.0767,4297.5065,-6827.3722,-2696.0730,-3426.2574,-612.6610,-2040.8991,4747.6846,142356.6516,144590.7702,132848.0387,135498.5982,134157.1142,133857.5482,141699.0179,137941.2372,-297498820.0528,-297515983.1158,-297512110.4063,-297503090.7072,138566.2613,-297510829.3896,5781.6410,396.5029,5433.0572,709.3807,-846.3497,-2479.1892,2924.5172,-6851.4847,3451.1298,3075.6367,-326608.7719,-325037.4988,-330311.7913,-324824.6361,-333752.8284,-330012.1663,-329405.8204,-327028.3001,17564500.4383,17563642.0812,17568282.2541,17552474.0525,-328303.1731,17553409.1845,-3379.2982,-1476.4126,-3912.7224,-5286.0157,877.9240,-5904.7224,-5288.3425,-874.7460,-5688.1015,3861.1910,-163964.2866,-163544.3496,-165760.2309,-160557.0201,-158972.9964,-168516.9994,-173224.9743,-165898.7294,-12817863.2740,-12816848.4701,-12829203.3378,-12839239.4463,-164762.0016,-12830116.4568,
