sl_5_86400_20240111 Coordinates.csv
2024/01/11 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:26 2024,
Start: 2024/01/11 07:47:00.00, Stop: 2024/01/12 07:47:00.00,
TIME_UNITS,STARLINK-1397 - X-Coordinate,STARLINK-30870 - X-Coordinate,STARLINK-31947 - X-Coordinate,STARLINK-31518 - X-Coordinate,STARLINK-4151 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1397 - Y-Coordinate,STARLINK-30870 - Y-Coordinate,STARLINK-31947 - Y-Coordinate,STARLINK-31518 - Y-Coordinate,STARLINK-4151 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1397 - Z-Coordinate,STARLINK-30870 - Z-Coordinate,STARLINK-31947 - Z-Coordinate,STARLINK-31518 - Z-Coordinate,STARLINK-4151 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,237.4714,-1232.0601,5406.3423,2721.0417,5914.4261,-141133.5411,-160136.7884,-149140.9172,-141951.1851,-149268.4994,-145402.5440,-148910.1609,-145769.4677,-216912737.5879,-216970108.8635,-216941946.8508,-216928574.9243,-145827.0498,-216925585.8590,-5263.2755,6749.4811,-3877.4871,-3997.2449,770.8479,282656.9611,279674.1531,295605.7240,294205.3621,296601.7180,294964.3491,287319.8214,291150.5505,244439347.9592,244426650.3296,244431108.5648,244431216.8473,290949.4442,244426729.4198,4494.7999,-1032.8598,-1499.4026,-4833.5577,3495.1139,-164034.8207,-165691.5198,-169144.7417,-159970.0778,-163962.2767,-174461.0747,-172344.2178,-165121.2963,-145448417.1146,-145429834.1832,-145457640.1531,-145433780.6266,-166893.8709,-145438769.5779,
3600.000,1999.2429,-1038.3961,-3203.1053,2093.4535,-3448.4610,-204556.6656,-225487.2614,-215477.8856,-209564.6211,-217581.3424,-213557.8681,-215762.3076,-213099.3669,-272790695.1149,-272848345.8673,-272817619.6355,-272811989.8320,-213533.6007,-272804081.5894,6584.5876,-6352.3492,5470.4861,4106.4041,2341.8721,238857.4356,231184.3849,251341.1146,248333.1687,251514.9500,250606.6343,242509.6420,245584.6548,179925005.2505,179899861.8355,179909766.1696,179909957.2194,245770.0311,179911466.1964,-836.4623,-2591.9637,-2524.4206,5034.7912,-5527.7715,-162926.3555,-165262.7651,-168058.6839,-160796.7001,-161500.5614,-171810.6045,-173923.9278,-168101.1876,-145433290.0188,-145419279.8307,-145446410.1081,-145427624.5144,-166352.2657,-145425882.1254,
7200.000,-3174.0814,3528.7807,-981.6672,-5554.1528,708.2387,-255642.9566,-276660.6141,-268501.2372,-263903.6948,-272367.6796,-268646.8976,-269576.9793,-268575.0893,-310056189.8314,-310110378.9421,-310078064.0048,-310072467.9421,-267946.4761,-310069615.9941,-5170.8851,3754.2975,-4907.2127,-3662.2525,-5521.7290,181488.7689,167901.0671,191262.1676,186860.8054,190553.6587,190009.8101,182813.9591,185189.0693,103146194.1094,103108651.5120,103125819.4486,103124873.0588,185185.5907,103131526.5704,-3359.7926,4633.9980,4621.9730,-1563.5212,4098.1368,-161933.3909,-164826.6525,-166497.6405,-162529.7803,-159515.5396,-168249.6727,-174708.5060,-164134.1173,-145417638.6378,-145408718.1577,-145434373.8934,-145420497.1770,-165792.9908,-145412950.1388,
10800.000,3968.1830,-5725.9854,5102.4834,5858.5786,1199.6837,-291544.8487,-310447.1958,-304838.3414,-302522.8559,-310153.3476,-306271.5504,-307204.9865,-304726.8482,-326169387.1304,-326216511.3907,-326184535.2961,-326177475.2525,-305654.0076,-326182316.4126,1426.2599,-375.1383,3154.2523,1706.2810,6811.8865,113704.6271,93836.3664,119034.0725,113078.5395,117784.5721,115749.9704,111691.9829,113350.9076,19340846.4939,19292180.5104,19318284.9194,19319565.5871,112965.4972,19325116.2539,5490.8233,-3904.5069,-3248.5498,-3082.2511,-144.6377,-161025.3305,-164381.3743,-164730.1240,-165443.7006,-157999.3612,-163899.2549,-174782.7640,-166735.1280,-145401639.0925,-145398134.7787,-145421402.0515,-145409846.0866,-165216.0872,-145399973.6251,
14400.000,-4715.6485,6444.6444,-6757.3091,-3643.4417,-2562.3594,-310182.9766,-324738.7281,-322120.5681,-325763.5940,-328574.9016,-322586.4250,-326316.5755,-325161.8561,-320033347.4234,-320070364.9079,-320041623.8512,-320035723.6498,-324283.1036,-320045345.6622,2684.5360,-2431.9348,-718.6996,1927.7284,-5090.4465,39305.2907,13661.4562,39146.5950,31655.6232,37915.4400,31469.5600,33326.5737,32873.2721,-65774370.0259,-65831766.5480,-65795671.4191,-65790563.3019,33609.3255,-65790840.4651,-4318.9712,805.2582,-597.7092,5439.6452,-3930.0382,-160183.4019,-163925.4281,-163075.2590,-166462.1473,-156958.5188,-163229.0785,-174185.5921,-163278.7395,-145385487.1678,-145387516.4696,-145407355.2331,-145396217.4740,-164621.5981,-145386952.5912,
18000.000,4617.7213,-4849.8296,5073.5393,925.3066,3961.5117,-310404.0638,-318653.7151,-319184.1190,-327239.6099,-326506.0090,-319422.0126,-325595.8803,-321876.0379,-292068716.9703,-292093500.1059,-292071659.1846,-292070232.5068,-322648.4710,-292079566.0317,-5145.2342,4116.7398,-2213.3129,-5587.6674,1210.1437,-37470.9393,-67587.9996,-43358.6915,-50691.6924,-43966.1483,-51499.8176,-47600.9740,-46710.6548,-146393968.8950,-146456847.1774,-146410853.9743,-146403394.3313,-47932.6573,-146410684.6284,502.4174,2757.0409,3971.8553,-3827.7223,5530.4938,-159395.1854,-163457.5145,-161817.2690,-163471.7595,-156423.0630,-166427.2960,-172918.6449,-165127.0557,-145369385.6341,-145376850.8635,-145392093.0852,-145380382.0038,-164009.5691,-145373887.0443,
21600.000,-2677.4772,1264.7360,-1384.3578,1147.9107,-5213.9723,-292077.7875,-292585.7400,-296185.0502,-306465.6470,-304100.5929,-297185.2413,-304845.1147,-301246.6571,-244184923.0780,-244196489.0584,-244185510.1461,-244190216.0698,-300828.1153,-244194677.8662,5284.2112,-4967.7868,5058.0325,6708.6870,2631.2609,-112181.8564,-144827.2657,-123235.0098,-130033.2418,-122705.3096,-129634.6944,-126160.4158,-128045.2862,-217019595.5756,-217084221.2785,-217030072.4899,-217024290.9477,-126567.4621,-217036018.7897,3588.8163,-4679.3393,-4365.2695,-618.9526,-3715.1940,-158652.0422,-162976.4601,-161129.3181,-160447.8024,-156456.7083,-168831.0122,-170946.8169,-162519.2465,-145353531.1154,-145366126.1923,-145375501.3927,-145363052.4613,-163380.0480,-145360776.9912,
25200.000,-1059.5483,2735.3974,-2193.0246,-2782.5536,5073.6758,-256133.3795,-248172.2101,-254596.9390,-265887.7854,-262740.4415,-256890.5124,-264996.9096,-260181.9005,-179649838.0183,-179648425.5914,-179651775.1143,-179660997.9410,-260160.3047,-179658811.9305,-4050.1230,5133.9246,-6292.7960,-4222.8640,-4684.3293,-180431.9431,-213239.0760,-195410.0629,-201449.0565,-193418.5165,-199591.1774,-197422.0863,-195645.0675,-272835014.4639,-272897589.8548,-272839023.2383,-272840071.9450,-197376.7116,-272850705.1761,-5530.5150,3767.9075,1445.4854,4585.0762,-441.6873,-157947.7638,-162481.1554,-161027.1154,-157880.9066,-157178.1813,-170305.1565,-168190.7921,-163324.0084,-145338101.3563,-145355331.0611,-145357556.9861,-145345128.8414,-162733.0851,-145347622.4393,
28800.000,4929.7402,-5401.8792,4310.2455,4420.8796,-2617.9765,-204534.5600,-188186.0644,-197087.6800,-208511.0978,-204854.4966,-200783.6630,-207983.0250,-202653.3050,-102866798.0436,-102853786.4140,-102873330.3650,-102881151.1309,-203162.0460,-102875480.6827,2620.9166,-4311.1500,4624.0380,-270.6985,4742.8229,-238127.1403,-268571.6303,-255344.3826,-260367.7139,-251887.9941,-257543.8564,-256645.0485,-257586.5370,-310034559.3549,-310091633.2634,-310034332.5723,-310046035.1484,-255923.6240,-310049290.5129,4098.8125,-606.4762,2545.9894,-5208.0978,4292.3267,-157277.8050,-161970.4965,-161364.7193,-155790.9907,-158806.4219,-170984.4766,-164524.5588,-161797.2942,-145323243.7114,-145344454.2425,-145338452.7579,-145328340.7985,-162068.7331,-145334423.3955,
